ancillary_reward	category	level_to_unlock	unit_reward
#workshop_categories_progress_levels_tables;3;db/workshop_categories_progress_levels_tables/data__			
wh2_dlc12_anc_armour_alloy_shield	doom_flayer	2	
wh2_dlc12_anc_weapon_retractable_fistblade	doom_flayer	4	
wh2_dlc12_anc_weapon_mechanical_arm	doom_flayer	6	
wh2_dlc12_anc_armour_power_armour	doom_flayer	7	
	doom_flayer	8	wh2_dlc12_skv_veh_doom_flayer_ror_tech_lab_0
wh2_dlc12_anc_talisman_warp_field_generator	doom_wheel	2	
wh2_dlc12_anc_weapon_thing_zapper	doom_wheel	4	
wh2_dlc12_anc_enchanted_item_modulated_doomwheel_assembly_kit	doom_wheel	6	
wh2_dlc12_anc_enchanted_item_warp_lightning_battery	doom_wheel	7	
	doom_wheel	8	wh2_dlc12_skv_veh_doomwheel_ror_tech_lab_0
wh2_dlc12_anc_magic_standard_incendiary_rounds	weapon_teams	2	
wh2_dlc12_anc_magic_standard_cape_of_sniper	weapon_teams	4	
	weapon_teams	5	wh2_dlc12_skv_inf_warpfire_thrower_ror_tech_lab_0
	weapon_teams	6	wh2_dlc12_skv_art_warplock_jezzails_ror_tech_lab_0
	weapon_teams	7	wh2_dlc12_skv_inf_ratling_gun_ror_tech_lab_0
