scope	scoped_cost_root	resource_cost
#scoped_resource_cost_items_tables;0;db/scoped_resource_cost_items_tables/data__		
FACTION	wh2_main_purchasable_effect_menace_below_1	wh2_main_resource_cost_menace_below_1
FACTION	wh2_main_purchasable_effect_menace_below_2	wh2_main_resource_cost_menace_below_2
FACTION	wh2_main_purchasable_effect_menace_below_3	wh2_main_resource_cost_menace_below_3
FACTION	wh2_main_purchasable_effect_menace_below_4	wh2_main_resource_cost_menace_below_4
FACTION	wh2_main_purchasable_effect_menace_below_5	wh2_main_resource_cost_menace_below_5
MILITARY_FORCE	wh3_main_purchasable_effect_meat_charge_bonus_1	wh3_main_resource_cost_meat_charge_bonus_1
MILITARY_FORCE	wh3_main_purchasable_effect_meat_charge_bonus_2	wh3_main_resource_cost_meat_charge_bonus_2
MILITARY_FORCE	wh3_main_purchasable_effect_meat_charge_bonus_3	wh3_main_resource_cost_meat_charge_bonus_3
MILITARY_FORCE	wh3_main_purchasable_effect_meat_charge_bonus_4	wh3_main_resource_cost_meat_charge_bonus_4
MILITARY_FORCE	wh3_main_purchasable_effect_meat_charge_bonus_5	wh3_main_resource_cost_meat_charge_bonus_5
