key	value
#_kv_fatigue_tables;0;db/_kv_fatigue_tables/data__	
charging	34.0
climbing_ladders	10000.0
climbing_walls	10000.0
combat	19.0
gradient_shallow_movement_multiplier	50.0
gradient_steep_movement_multiplier	100.0
gradient_very_steep_movement_multiplier	150.0
idle	-18.0
idle_in_building	-18.0
idle_rain	-10.0
idle_snow	-10.0
limbering	6.0
ready	-7.0
running	4.0
running_artillery_horse	6.0
running_cavalry	6.0
running_cavalry_light	6.0
shooting	18.0
threshold_active	2800.0
threshold_exhausted	27000.0
threshold_fresh	0.0
threshold_max	30000.0
threshold_tired	12600.0
threshold_very_tired	18000.0
threshold_winded	6600.0
walking	-1.0
walking_artillery	12.0
walking_horse_artillery	2.0
working	20.0
