key	face_destination_tolerance_angle	force_initial_turn_angle	max_standing_turn_speed	min_stopping_distance	min_turn_to_move_distance	precise_distance	precise_movement_completion_distance	engine_crew_max_turn_delta	engine_crew_enable_bearing_tolerance	engine_crew_bearing_tolerance
#battle_entity_locomotion_constants_tables;1;db/battle_entity_locomotion_constants_tables/data__										
articulated_entity	1.0	120.0	0.2	0.5	1000.0	6.0	0.2	35.0	true	40.0
cathay_dragon_entity	1.0	30.0	1.0	3.0	1000.0	6.0	0.5	35.0	true	40.0
hovering_entity	1.0	180.0	6.0	3.0	1000.0	6.0	0.5	35.0	true	40.0
large_entity	1.0	30.0	1.2	2.0	1000.0	4.0	0.2	35.0	true	40.0
large_entity_turn_to_move	1.0	30.0	1.2	2.0	7.5	4.0	0.2	35.0	true	40.0
medium_entity	1.0	90.0	0.6	1.0	1000.0	2.0	0.050000004	35.0	true	40.0
medium_entity_turn_to_move	1.0	90.0	0.6	1.0	5.0	2.0	0.050000004	35.0	true	40.0
mournfang_entity	1.0	60.0	0.8999999	1.5	1000.0	3.0	0.1	35.0	true	40.0
rear_wheeled_entity	1.0	90.0	0.2	0.5	1000.0	4.0	0.2	35.0	true	40.0
seeker_chariot_articulated_entity	1.0	120.0	0.1	0.5	10.0	6.0	0.2	35.0	true	40.0
seeker_chariot_entity	1.0	120.0	0.1	0.5	10.0	6.0	0.2	35.0	true	40.0
small_entity	1.0	180.0	0.3	0.5	0.1	1.0	0.010000002	35.0	true	40.0
small_entity_turn_to_move	1.0	90.0	0.3	0.5	2.0	1.0	0.010000002	35.0	true	40.0
very_large_entity	1.0	15.0	2.0	3.0	1000.0	6.0	0.5	35.0	true	40.0
very_large_entity_turn_to_move	1.0	15.0	2.0	3.0	10.0	6.0	0.5	35.0	true	40.0
very_small_entity	1.0	90.0	0.3	0.5	1000.0	1.0	0.010000002	35.0	true	40.0
very_small_entity_turn_to_move	1.0	90.0	0.3	0.5	2.0	1.0	0.010000002	35.0	true	40.0
wheeled_entity	1.0	90.0	0.5	0.5	1000.0	4.0	0.2	35.0	true	40.0
