component	parent
#cai_personality_deal_evaluation_component_overrides_tables;0;db/cai_personality_deal_evaluation_component_overrides_tables/data__	
wh3_deal_eval_beastmen	wh3_deal_eval_default
wh3_deal_eval_beastmen_major	wh3_deal_eval_beastmen
wh3_deal_eval_beastmen_minor	wh3_deal_eval_beastmen
wh3_deal_eval_bretonnia	wh3_deal_eval_default
wh3_deal_eval_bretonnia_major	wh3_deal_eval_bretonnia
wh3_deal_eval_bretonnia_minor	wh3_deal_eval_bretonnia
wh3_deal_eval_cathay	wh3_deal_eval_default
wh3_deal_eval_cathay_minor	wh3_deal_eval_cathay
wh3_deal_eval_chaos	wh3_deal_eval_default
wh3_deal_eval_chaos_minor	wh3_deal_eval_chaos
wh3_deal_eval_darkelf	wh3_deal_eval_default
wh3_deal_eval_darkelf_major	wh3_deal_eval_darkelf
wh3_deal_eval_darkelf_minor	wh3_deal_eval_darkelf
wh3_deal_eval_darkelf_unfriendly	wh3_deal_eval_darkelf
wh3_deal_eval_dwarf	wh3_deal_eval_default
wh3_deal_eval_dwarf_major	wh3_deal_eval_dwarf
wh3_deal_eval_dwarf_minor	wh3_deal_eval_dwarf
wh3_deal_eval_dwarf_unfriendly	wh3_deal_eval_dwarf
wh3_deal_eval_empire	wh3_deal_eval_default
wh3_deal_eval_empire_major	wh3_deal_eval_empire
wh3_deal_eval_empire_minor	wh3_deal_eval_empire
wh3_deal_eval_empire_unfriendly	wh3_deal_eval_empire
wh3_deal_eval_greenskin	wh3_deal_eval_default
wh3_deal_eval_greenskin_major	wh3_deal_eval_greenskin
wh3_deal_eval_greenskin_minor	wh3_deal_eval_greenskin
wh3_deal_eval_greenskin_unfriendly	wh3_deal_eval_greenskin
wh3_deal_eval_highelf	wh3_deal_eval_default
wh3_deal_eval_highelf_major	wh3_deal_eval_highelf
wh3_deal_eval_highelf_minor	wh3_deal_eval_highelf
wh3_deal_eval_highelf_passive	wh3_deal_eval_highelf
wh3_deal_eval_highelf_unfriendly	wh3_deal_eval_highelf
wh3_deal_eval_kislev	wh3_deal_eval_default
wh3_deal_eval_kislev_minor	wh3_deal_eval_kislev
wh3_deal_eval_lizardmen	wh3_deal_eval_default
wh3_deal_eval_lizardmen_major	wh3_deal_eval_lizardmen
wh3_deal_eval_lizardmen_minor	wh3_deal_eval_lizardmen
wh3_deal_eval_lizardmen_nakai_vassal	wh3_deal_eval_lizardmen
wh3_deal_eval_lizardmen_passive	wh3_deal_eval_lizardmen
wh3_deal_eval_lizardmen_unfriendly	wh3_deal_eval_lizardmen
wh3_deal_eval_minor	wh3_deal_eval_default
wh3_deal_eval_norsca	wh3_deal_eval_default
wh3_deal_eval_norsca_awoken	wh3_deal_eval_norsca
wh3_deal_eval_norsca_confederated	wh3_deal_eval_norsca
wh3_deal_eval_norsca_major	wh3_deal_eval_norsca
wh3_deal_eval_norsca_minor	wh3_deal_eval_norsca
wh3_deal_eval_norsca_vassal	wh3_deal_eval_norsca_minor
wh3_deal_eval_ogre	wh3_deal_eval_default
wh3_deal_eval_ogre_greedy	wh3_deal_eval_ogre
wh3_deal_eval_ogre_minor	wh3_deal_eval_ogre
wh3_deal_eval_passive	wh3_deal_eval_default
wh3_deal_eval_prologue	wh3_deal_eval_default
wh3_deal_eval_regionless	wh3_deal_eval_default
wh3_deal_eval_rogue	wh3_deal_eval_default
wh3_deal_eval_skaven	wh3_deal_eval_default
wh3_deal_eval_skaven_major	wh3_deal_eval_skaven
wh3_deal_eval_skaven_minor	wh3_deal_eval_skaven
wh3_deal_eval_skaven_unfriendly	wh3_deal_eval_skaven
wh3_deal_eval_slaanesh	wh3_deal_eval_chaos
wh3_deal_eval_slaanesh_minor	wh3_deal_eval_slaanesh
wh3_deal_eval_tombkings	wh3_deal_eval_default
wh3_deal_eval_tombkings_major	wh3_deal_eval_tombkings
wh3_deal_eval_tombkings_minor	wh3_deal_eval_tombkings
wh3_deal_eval_tombkings_passive	wh3_deal_eval_tombkings
wh3_deal_eval_vampire	wh3_deal_eval_default
wh3_deal_eval_vampire_major	wh3_deal_eval_vampire
wh3_deal_eval_vampire_minor	wh3_deal_eval_vampire
wh3_deal_eval_vampire_unfriendly	wh3_deal_eval_vampire
wh3_deal_eval_vampirecoast	wh3_deal_eval_default
wh3_deal_eval_vampirecoast_major	wh3_deal_eval_vampirecoast
wh3_deal_eval_vampirecoast_minor	wh3_deal_eval_vampirecoast
wh3_deal_eval_woc	wh3_deal_eval_chaos
wh3_deal_eval_woodelf	wh3_deal_eval_default
wh3_deal_eval_woodelf_major	wh3_deal_eval_woodelf
wh3_deal_eval_woodelf_major_secondary	wh3_deal_eval_woodelf
wh3_deal_eval_woodelf_minor	wh3_deal_eval_woodelf
