deactivate_flag	special_ability
#special_ability_to_auto_deactivate_flags_tables;0;db/special_ability_to_auto_deactivate_flags_tables/data__	
health_above_50%	wh2_dlc09_army_abilities_barrage_of_the_legion
hasnt_realm_of_souls_tier_3	wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger
health_above_50%	wh2_dlc09_character_passive_befalling_curse
hasnt_realm_of_souls_tier_1	wh2_dlc09_faction_passive_realm_of_souls_tier_1
morale_is_broken_or_lower	wh2_dlc09_faction_passive_realm_of_souls_tier_1
hasnt_realm_of_souls_tier_2	wh2_dlc09_faction_passive_realm_of_souls_tier_2
morale_is_broken_or_lower	wh2_dlc09_faction_passive_realm_of_souls_tier_2
hasnt_realm_of_souls_tier_3	wh2_dlc09_faction_passive_realm_of_souls_tier_3
morale_is_broken_or_lower	wh2_dlc09_faction_passive_realm_of_souls_tier_3
winning_melee_combat	wh2_dlc09_item_passive_lucky_skullhelm
health_above_50%	wh2_dlc09_item_passive_scorpion_armour
morale_is_broken_or_lower	wh2_dlc09_item_passive_vambraces_of_the_sun
health_above_50%	wh2_dlc09_lord_passive_the_curse
morale_is_broken_or_lower	wh2_dlc09_lore_passive_the_restless_dead
other_abilities_just_activated_after_wind_up	wh2_dlc09_lore_passive_the_restless_dead
morale_is_higher_than_shattered	wh2_dlc09_unit_passive_unstable_mark_ii_sand
morale_is_higher_than_broken	wh2_dlc09_unit_passive_unstable_sand
other_abilities_just_activated_after_wind_up	wh2_dlc09_weapon_passive_the_liche_staff
health_above_50%_base	wh2_dlc10_item_passive_dragon_slayers_fang
health_above_25%	wh2_dlc10_item_passive_gate_keepers_belt
winning_melee_combat	wh2_dlc10_item_passive_ironbeards_bracers
health_above_50%_base	wh2_dlc10_item_passive_ironwardens_shield
engaged_in_melee	wh2_dlc10_item_passive_old_guards_tankard
morale_is_lower_than_half_of_base_morale	wh2_dlc10_item_passive_ring_of_grimnir
morale_is_lower_than_half_of_base_morale	wh2_dlc10_item_passive_starmetal_plate
cannot_find_enemies_in_intercept_range	wh2_dlc10_item_passive_the_shadow_crown
morale_is_broken_or_lower	wh2_dlc10_quest_passive_primal_rage
out_of_melee	wh2_dlc10_unit_passive_the_trial_of_blades
health_above_50%_base	wh2_dlc10_weapon_passive_dragon_slayers_axe
morale_is_lower_than_half_of_base_morale	wh2_dlc10_weapon_passive_ironwardens_hammer
out_of_melee	wh2_dlc10_weapon_passive_the_cursed_blade
out_of_melee	wh2_dlc11_item_passive_helm_of_the_kraken
other_abilities_just_activated_after_wind_up	wh2_dlc11_item_passive_the_bordeleaux_flabellum
out_of_melee	wh2_dlc11_lord_passive_honour_or_death
other_abilities_just_activated_after_wind_up	wh2_dlc11_lore_passive_kiss_of_the_deep
health_above_50%	wh2_dlc11_unit_passive_abandon_ship
have_ammo_below_threshold	wh2_dlc11_unit_passive_extra_powder
health_above_25%	wh2_dlc11_unit_passive_noxious_unstable_mark_ii
out_of_melee	wh2_dlc11_unit_passive_the_hunger
out_of_melee	wh2_dlc11_unit_passive_the_ravenous_dead
other_abilities_just_activated_after_wind_up	wh2_dlc12_item_passive_plaque_of_sotek
other_abilities_just_activated_after_wind_up	wh2_dlc12_lord_passive_adrenaline_rush
other_abilities_just_activated_after_wind_up	wh2_dlc12_lord_passive_secondwind_serum
out_of_melee	wh2_dlc12_unit_passive_blade_swirl
out_of_melee	wh2_dlc12_unit_passive_the_best_defence
health_above_50%	wh2_dlc12_unit_passive_witness_me
grounded	wh2_dlc12_weapon_passive_blade_of_the_ancient_skies
health_below_50%	wh2_dlc13_item_passive_obsinite_plate
health_above_20%	wh2_dlc13_item_passive_resilient_spirit
cannot_find_enemies_in_intercept_range	wh2_dlc13_lord_passive_fleet_footed
health_above_50%_base	wh2_dlc13_lord_passive_merely_a_fleshwound
health_above_50%_base	wh2_dlc13_lord_passive_to_the_death
out_of_melee	wh2_dlc13_unit_passive_grim_resolve
unit_alive	wh2_dlc13_unit_passive_kaboom
out_of_melee	wh2_dlc14_lord_passive_fleur_de_lys_banner
other_abilities_just_activated_after_wind_up	wh2_dlc14_lore_passive_toxic_rain
out_of_melee	wh2_dlc14_unit_passive_aura_of_agony
out_of_melee	wh2_dlc14_unit_passive_aura_of_ardour
out_of_melee	wh2_dlc14_unit_passive_crowfeast
morale_is_wavering_or_lower	wh2_dlc14_unit_passive_duck_and_weave
morale_is_broken_or_lower	wh2_dlc14_weapon_passive_warpsword_of_khaine
out_of_melee	wh2_dlc14_weapon_passive_warpsword_of_khaine
morale_is_lower_than_half_of_base_morale	wh2_dlc15_banner_passive_da_immortulz
no_enemies_in_intercept_range_commander_class	wh2_dlc15_lord_passive_best_of_da_best
out_of_melee	wh2_dlc15_lord_passive_language_of_da_boyz
morale_is_broken_or_lower	wh2_dlc15_unit_abilities_mimic_murderous_prowess
health_above_10%	wh2_dlc15_unit_passive_fiery_rebirth
out_of_melee_anything	wh2_dlc15_unit_passive_giant_explodin_spores
health_below_75%	wh2_dlc15_unit_passive_journeys_end
morale_is_broken_or_lower	wh2_dlc15_unit_passive_mimic_berserk
out_of_melee	wh2_dlc15_unit_passive_mimic_berserk
morale_is_broken_or_lower	wh2_dlc15_unit_passive_mimic_bloodgreed
have_ammo_below_threshold	wh2_dlc15_unit_passive_mimic_extra_powder
unit_is_not_in_forest	wh2_dlc15_unit_passive_mimic_forest_walker
morale_is_wavering_or_lower	wh2_dlc15_unit_passive_mimic_liquid_fortification
morale_is_lower_than_half_of_base_morale	wh2_dlc15_unit_passive_mimic_primal_fury
health_above_50%	wh2_dlc15_unit_passive_mimic_realm_of_souls_1
morale_is_broken_or_lower	wh2_dlc15_unit_passive_mimic_realm_of_souls_1
health_above_25%	wh2_dlc15_unit_passive_mimic_realm_of_souls_2
morale_is_broken_or_lower	wh2_dlc15_unit_passive_mimic_realm_of_souls_2
health_above_10%	wh2_dlc15_unit_passive_mimic_realm_of_souls_3
morale_is_broken_or_lower	wh2_dlc15_unit_passive_mimic_realm_of_souls_3
morale_is_higher_than_wavering	wh2_dlc15_unit_passive_mimic_scurry_away
health_below_50%_base	wh2_dlc15_unit_passive_mimic_strength_in_numbers
morale_is_broken_or_lower	wh2_dlc15_unit_passive_mimic_the_blessing_of_the_lady
health_below_50%_base	wh2_dlc15_unit_passive_monstrous_disease
unit_is_not_charging	wh2_dlc15_unit_passive_pump_harder_ladz
health_above_75%	wh2_dlc15_unit_passive_rubble_and_ruin_tier_1_bombardment
health_above_75%	wh2_dlc15_unit_passive_rubble_and_ruin_tier_1
health_below_50%	wh2_dlc15_unit_passive_rubble_and_ruin_tier_1
health_above_50%	wh2_dlc15_unit_passive_rubble_and_ruin_tier_2_bombardment
health_above_50%	wh2_dlc15_unit_passive_rubble_and_ruin_tier_2
health_below_25%	wh2_dlc15_unit_passive_rubble_and_ruin_tier_2
health_above_25%	wh2_dlc15_unit_passive_rubble_and_ruin_tier_3_bombardment
