initiative_record	strength	effect_bundle
#provincial_initiative_strength_levels_tables;0;db/provincial_initiative_strength_levels_tables/data__		
wh2_main_edict_lzd_alignment_of_crafting	1	wh2_main_edict_lzd_alignment_of_crafting_1
wh2_main_edict_lzd_alignment_of_crafting	2	wh2_main_edict_lzd_alignment_of_crafting_2
wh2_main_edict_lzd_alignment_of_crafting	3	wh2_main_edict_lzd_alignment_of_crafting_3
wh2_main_edict_lzd_alignment_of_crafting	4	wh2_main_edict_lzd_alignment_of_crafting_4
wh2_main_edict_lzd_alignment_of_crafting	5	wh2_main_edict_lzd_alignment_of_crafting_5
wh2_main_edict_lzd_alignment_of_monuments	1	wh2_main_edict_lzd_alignment_of_monuments_1
wh2_main_edict_lzd_alignment_of_monuments	2	wh2_main_edict_lzd_alignment_of_monuments_2
wh2_main_edict_lzd_alignment_of_monuments	3	wh2_main_edict_lzd_alignment_of_monuments_3
wh2_main_edict_lzd_alignment_of_monuments	4	wh2_main_edict_lzd_alignment_of_monuments_4
wh2_main_edict_lzd_alignment_of_monuments	5	wh2_main_edict_lzd_alignment_of_monuments_5
wh2_main_edict_lzd_alignment_of_order	1	wh2_main_edict_lzd_alignment_of_order_1
wh2_main_edict_lzd_alignment_of_order	2	wh2_main_edict_lzd_alignment_of_order_2
wh2_main_edict_lzd_alignment_of_order	3	wh2_main_edict_lzd_alignment_of_order_3
wh2_main_edict_lzd_alignment_of_order	4	wh2_main_edict_lzd_alignment_of_order_4
wh2_main_edict_lzd_alignment_of_order	5	wh2_main_edict_lzd_alignment_of_order_5
wh2_main_edict_lzd_alignment_of_war	1	wh2_main_edict_lzd_alignment_of_war_1
wh2_main_edict_lzd_alignment_of_war	2	wh2_main_edict_lzd_alignment_of_war_2
wh2_main_edict_lzd_alignment_of_war	3	wh2_main_edict_lzd_alignment_of_war_3
wh2_main_edict_lzd_alignment_of_war	4	wh2_main_edict_lzd_alignment_of_war_4
wh2_main_edict_lzd_alignment_of_war	5	wh2_main_edict_lzd_alignment_of_war_5
