ability	default_amount	max_amount	inverse	intensity_source	intensity_type
#special_ability_intensity_settings_tables;2;db/special_ability_intensity_settings_tables/data__					
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc10_lord_passive_blood_frenzy	0.0000	100.0000	false	time_in_melee	linear_multiplier
wh2_dlc10_quest_passive_primal_rage	0.0000	100.0000	false	time_in_melee	linear_multiplier
wh2_dlc11_spell_deep_fog_of_the_damned	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc11_spell_deep_fog_of_the_damned_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc11_spell_deep_ghost_ship	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc11_spell_deep_ghost_ship_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc11_spell_deep_krakens_pull	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc11_spell_deep_krakens_pull_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc11_spell_deep_spiteful_shot	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc11_spell_deep_spiteful_shot_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc11_spell_deep_tidecall	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc11_spell_deep_tidecall_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc12_spell_kroak_deliverance_of_itza_1	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc12_spell_kroak_deliverance_of_itza_2	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc12_spell_kroak_deliverance_of_itza_3	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc14_spell_grey_seer_the_dreaded_thirteenth_spell_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc14_spell_ruin_flensing_ruin	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc14_spell_ruin_flensing_ruin_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc14_spell_stealth_armour_of_darkness	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc14_spell_stealth_armour_of_darkness_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc14_spell_stealth_black_whirlwind	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc14_spell_stealth_black_whirlwind_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc14_spell_stealth_brittle_bone	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc14_spell_stealth_brittle_bone_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc14_spell_stealth_veil_of_shadows	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc14_spell_stealth_veil_of_shadows_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc14_spell_stealth_warp_stars	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc14_spell_stealth_warp_stars_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_dlc15_unit_passive_mimic_berserk	0.0000	100.0000	false	time_in_melee	linear_multiplier
wh2_dlc17_unit_passive_bloodgreed_upgraded	0.0000	200.0000	false	kills_made	linear_multiplier
wh2_main_spell_dark_magic_bladewind	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_dark_magic_bladewind_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_dark_magic_chillwind	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_dark_magic_chillwind_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_dark_magic_doombolt	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_dark_magic_doombolt_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_dark_magic_power_of_darkness	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_dark_magic_soul_stealer	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_dark_magic_word_of_pain	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_dark_magic_word_of_pain_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_grey_seer_the_dreaded_thirteenth_spell	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_high_magic_apotheosis	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_high_magic_apotheosis_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_high_magic_arcane_unforging	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_high_magic_arcane_unforging_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_high_magic_fiery_convocation	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_high_magic_fiery_convocation_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_high_magic_hand_of_glory	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_high_magic_hand_of_glory_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_high_magic_soul_quench	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_high_magic_soul_quench_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_high_magic_tempest	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_high_magic_tempest_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_plague_bless_with_filth	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_plague_bless_with_filth_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_plague_pestilent_breath	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_plague_pestilent_breath_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_plague_plague	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_plague_plague_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_plague_wither	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_plague_wither_upgraded	1.0000	1.0000	false	mastery_of_elemental_winds	set
wh2_main_spell_ruin_cracks_call	1.0000	1.0000	false	mastery_of_elemental_winds	set
