strategic_component	best_friends_attitude	best_friends_positive_factor	bitter_enemies_attitude	bitter_enemies_positive_factor	friendly_attitude	friendly_positive_factor	neutral_attitude	neutral_positive_factor	unfriendly_attitude	unfriendly_positive_factor	very_friendly_attitude	very_friendly_positive_factor	very_unfriendly_attitude	very_unfriendly_positive_factor	best_friends_negative_factor	very_friendly_negative_factor	friendly_negative_factor	neutral_negative_factor	unfriendly_negative_factor	very_unfriendly_negative_factor	bitter_enemies_negative_factor
#cai_personality_strategic_desired_attitudes_tables;1;db/cai_personality_strategic_desired_attitudes_tables/data__																					
wh3_strategic_component_aggressive	230.0000	0.2500	-230.0000	0.0000	30.0000	0.1500	0.0000	0.0300	-30.0000	0.0000	70.0000	0.2000	-70.0000	0.0000	0.2500	0.2000	0.1500	0.0300	0.0000	0.0000	0.0000
wh3_strategic_component_aggressive_opportunistic	230.0000	0.2500	-230.0000	0.0000	30.0000	0.1500	0.0000	0.0300	-30.0000	0.0000	70.0000	0.2000	-70.0000	0.0000	0.2500	0.2000	0.1500	0.0300	0.0000	0.0000	0.0000
wh3_strategic_component_aloof	230.0000	0.2500	-230.0000	0.0000	30.0000	0.1500	0.0000	0.0300	-30.0000	0.0000	70.0000	0.2000	-70.0000	0.0000	0.2500	0.2000	0.1500	0.0300	0.0000	0.0000	0.0000
wh3_strategic_component_chaos	230.0000	0.2500	-230.0000	0.0000	30.0000	0.1500	0.0000	0.0300	-30.0000	0.0000	70.0000	0.2000	-70.0000	0.0000	0.2500	0.2000	0.1500	0.0300	0.0000	0.0000	0.0000
wh3_strategic_component_chaos_aggressive	230.0000	0.2500	-230.0000	0.0000	30.0000	0.1500	0.0000	0.0300	-30.0000	0.0000	70.0000	0.2000	-70.0000	0.0000	0.2500	0.2000	0.1500	0.0300	0.0000	0.0000	0.0000
wh3_strategic_component_chaos_vengeful	230.0000	0.2500	-230.0000	0.0000	30.0000	0.1500	0.0000	0.0300	-30.0000	0.0000	70.0000	0.2000	-70.0000	0.0000	0.2500	0.2000	0.1500	0.0300	0.0000	0.0000	0.0000
wh3_strategic_component_cowardly	230.0000	0.2500	-230.0000	0.0000	30.0000	0.1500	0.0000	0.0300	-30.0000	0.0000	70.0000	0.2000	-70.0000	0.0000	0.2500	0.2000	0.1500	0.0300	0.0000	0.0000	0.0000
wh3_strategic_component_default	230.0000	0.2500	-230.0000	0.0000	30.0000	0.1500	0.0000	0.0300	-30.0000	0.0000	70.0000	0.2000	-70.0000	0.0000	0.2500	0.2000	0.1500	0.0300	0.0000	0.0000	0.0000
wh3_strategic_component_defensive	230.0000	0.2500	-230.0000	0.0000	30.0000	0.1500	0.0000	0.0300	-30.0000	0.0000	70.0000	0.2000	-70.0000	0.0000	0.2500	0.2000	0.1500	0.0300	0.0000	0.0000	0.0000
wh3_strategic_component_defensive_holds_grudges	230.0000	0.2500	-230.0000	0.0000	30.0000	0.1500	0.0000	0.0300	-30.0000	0.0000	70.0000	0.2000	-70.0000	0.0000	0.2500	0.2000	0.1500	0.0300	0.0000	0.0000	0.0000
wh3_strategic_component_frenzied	230.0000	0.2500	-230.0000	0.0000	30.0000	0.1500	0.0000	0.0300	-30.0000	0.0000	70.0000	0.2000	-70.0000	0.0000	0.2500	0.2000	0.1500	0.0300	0.0000	0.0000	0.0000
wh3_strategic_component_noretreat	230.0000	0.2500	-230.0000	0.0000	30.0000	0.1500	0.0000	0.0300	-30.0000	0.0000	70.0000	0.2000	-70.0000	0.0000	0.2500	0.2000	0.1500	0.0300	0.0000	0.0000	0.0000
wh3_strategic_component_nurgle	230.0000	0.2500	-230.0000	0.0000	30.0000	0.1500	0.0000	0.0300	-30.0000	0.0000	70.0000	0.2000	-70.0000	0.0000	0.2500	0.2000	0.1500	0.0300	0.0000	0.0000	0.0000
wh3_strategic_component_opportunistic	230.0000	0.2500	-230.0000	0.0000	30.0000	0.1500	0.0000	0.0300	-30.0000	0.0000	70.0000	0.2000	-70.0000	0.0000	0.2500	0.2000	0.1500	0.0300	0.0000	0.0000	0.0000
wh3_strategic_component_prologue	90.0000	0.2600	-90.0000	0.0000	30.0000	0.1200	0.0000	0.0200	-30.0000	0.0000	60.0000	0.2000	-60.0000	0.0000	0.4000	0.3000	0.2000	0.0600	0.0000	0.0000	0.0000
wh3_strategic_component_prologue_bellicose	90.0000	0.2600	-90.0000	0.0000	30.0000	0.1200	0.0000	0.0200	-30.0000	0.0000	60.0000	0.2000	-60.0000	0.0000	0.4000	0.3000	0.2000	0.0600	0.0000	0.0000	0.0000
wh3_strategic_component_prologue_ignore_threat	90.0000	0.2600	-90.0000	0.0000	30.0000	0.1200	0.0000	0.0200	-30.0000	0.0000	60.0000	0.2000	-60.0000	0.0000	0.4000	0.3000	0.2000	0.0600	0.0000	0.0000	0.0000
wh3_strategic_component_rift_spawned	230.0000	0.2500	-230.0000	0.0000	30.0000	0.1500	0.0000	0.0300	-30.0000	0.0000	70.0000	0.2000	-70.0000	0.0000	0.2500	0.2000	0.1500	0.0300	0.0000	0.0000	0.0000
