campaign_group	recipe
#campaign_group_cooking_recipes_tables;0;db/campaign_group_cooking_recipes_tables/data__	
wh2_dlc15_feature_grom	wh2_dlc15_food_dish_1
wh2_dlc15_feature_grom	wh2_dlc15_food_dish_10
wh2_dlc15_feature_grom	wh2_dlc15_food_dish_2
wh2_dlc15_feature_grom	wh2_dlc15_food_dish_3
wh2_dlc15_feature_grom	wh2_dlc15_food_dish_4
wh2_dlc15_feature_grom	wh2_dlc15_food_dish_5
wh2_dlc15_feature_grom	wh2_dlc15_food_dish_6
wh2_dlc15_feature_grom	wh2_dlc15_food_dish_7
wh2_dlc15_feature_grom	wh2_dlc15_food_dish_8
wh2_dlc15_feature_grom	wh2_dlc15_food_dish_9
wh2_dlc15_feature_grom	wh2_dlc15_food_special_dish_1
wh2_dlc15_feature_grom	wh2_dlc15_food_special_dish_2
wh2_dlc15_feature_grom	wh2_dlc15_food_special_dish_3
wh2_dlc15_feature_grom	wh2_dlc15_food_special_dish_4
wh2_dlc15_feature_grom	wh2_dlc15_food_special_dish_5
