group_key	unit_key	quality
#cdir_military_generator_unit_qualities_tables;1;db/cdir_military_generator_unit_qualities_tables/data__		
Drycha_land_elf	wh2_dlc16_wef_inf_bladesingers_0	11
Drycha_land_elf	wh_dlc05_wef_cav_glade_riders_1	5
Drycha_land_elf	wh_dlc05_wef_inf_deepwood_scouts_0	3
Drycha_land_elf	wh_dlc05_wef_inf_deepwood_scouts_1	5
Drycha_land_elf	wh_dlc05_wef_inf_deepwood_scouts_1_qb	5
Drycha_land_elf	wh_dlc05_wef_inf_glade_guard_0	1
Drycha_land_elf	wh_dlc05_wef_inf_glade_guard_1	2
Drycha_land_elf	wh_dlc05_wef_inf_glade_guard_2	2
Drycha_land_elf	wh_dlc05_wef_inf_wardancers_0	3
Drycha_land_elf	wh_dlc05_wef_inf_wardancers_1	5
Drycha_land_elf	wh_dlc05_wef_inf_waywatchers_0	11
Drycha_land_elf	wh_pro04_wef_inf_wardancers_ror_0	14
Drycha_land_elf	wh_pro04_wef_inf_waywatchers_ror_0	17
Drycha_land_monster	wh2_dlc16_wef_inf_dryads_0_summoned	3
Drycha_land_monster	wh2_dlc16_wef_inf_dryads_ror_0	6
Drycha_land_monster	wh2_dlc16_wef_inf_malicious_dryads_0	4
Drycha_land_monster	wh2_dlc16_wef_mon_ceithin_har_summoned	1
Drycha_land_monster	wh2_dlc16_wef_mon_malicious_treekin_0	7
Drycha_land_monster	wh2_dlc16_wef_mon_malicious_treeman_0	20
Drycha_land_monster	wh2_dlc16_wef_mon_zoats	20
Drycha_land_monster	wh2_dlc16_wef_mon_zoats_ror_0	34
Drycha_land_support	wh2_dlc16_wef_mon_cave_bats	1
Drycha_land_support	wh2_dlc16_wef_mon_feral_manticore	5
Drycha_land_support	wh2_dlc16_wef_mon_giant_spiders_0	2
Drycha_land_support	wh2_dlc16_wef_mon_harpies_0	3
Drycha_land_support	wh2_dlc16_wef_mon_hawks_0	5
Drycha_land_support	wh2_dlc16_wef_mon_spider_hatchlings_0	1
Drycha_land_support	wh2_dlc16_wef_mon_wolves_0	3
Drycha_land_support	wh3_main_monster_feral_bears	6
wh3_default_land_artillery_long_range	wh2_dlc09_tmb_art_casket_of_souls_0	15
