reason	region	ritual
#rituals_to_regions_tables;0;db/rituals_to_regions_tables/data__		
WORLDROOTS_HEALING	wh3_main_combi_region_the_oak_of_ages	wh2_dlc16_ritual_rebirth_athel_loren
WORLDROOTS_HEALING	wh3_main_combi_region_the_sacred_pools	wh2_dlc16_ritual_rebirth_emerald_pools
WORLDROOTS_HEALING	wh3_main_combi_region_gaean_vale	wh2_dlc16_ritual_rebirth_gaean_vale
WORLDROOTS_HEALING	wh3_main_combi_region_gryphon_wood	wh2_dlc16_ritual_rebirth_gryphon_wood
WORLDROOTS_HEALING	wh3_main_combi_region_oreons_camp	wh2_dlc16_ritual_rebirth_heart_of_the_jungle
WORLDROOTS_HEALING	wh3_main_combi_region_jungles_of_chian	wh2_dlc16_ritual_rebirth_jungles_of_chian
WORLDROOTS_HEALING	wh3_main_combi_region_laurelorn_forest	wh2_dlc16_ritual_rebirth_laurelorn
WORLDROOTS_HEALING	wh3_main_combi_region_the_witchwood	wh2_dlc16_ritual_rebirth_naggarond_glade
WORLDROOTS_HEALING	wh3_main_combi_region_the_haunted_forest	wh2_dlc16_ritual_rebirth_the_haunted_forest
WORLDROOTS_HEALING	wh3_main_combi_region_forest_of_gloom	wh2_dlc16_ritual_rebirth_vale_of_webs
