name	can_weather_disable	event	max_distance	max_height	max_time	min_distance	min_height	min_time	required_intensity	probability
#audio_battle_environment_one_shots_tables;1;db/audio_battle_environment_one_shots_tables/data__										
Blackbird	true	Battle_Environment_Generic_Primary_Oneshot_Earth_Creak	30.0000	100.0000	60.0000	20.0000	60.0000	30.0000	0.4000	1.0000
WH3_Faction_Cathay_Forest_Oneshot_Branches_A	true	Battle_Environment_Forests_Oneshot_Cathay_Branches_A	40.0000	40.0000	15.0000	20.0000	1.0000	5.0000	0.4000	1.0000
WH3_Faction_Cathay_Forest_Oneshot_Branches_B	true	Battle_Environment_Forests_Oneshot_Cathay_Branches_B	40.0000	40.0000	30.0000	20.0000	1.0000	15.0000	0.4000	1.0000
WH3_Faction_Cathay_Forest_Oneshot_Branches_C	true	Battle_Environment_Forests_Oneshot_Cathay_Branches_C	40.0000	40.0000	60.0000	20.0000	1.0000	30.0000	0.4000	1.0000
WH3_Faction_Cathay_Forest_Oneshot_Monkey_A	true	Battle_Environment_Forests_Oneshot_Cathay_Monkey_A	40.0000	40.0000	30.0000	20.0000	1.0000	15.0000	0.4000	1.0000
WH3_Faction_Cathay_Forest_Oneshot_Monkey_B	true	Battle_Environment_Forests_Oneshot_Cathay_Monkey_B	40.0000	40.0000	15.0000	20.0000	1.0000	5.0000	0.4000	1.0000
WH3_Faction_Cathay_Forest_Oneshot_Tree_Stress	true	Battle_Environment_Forests_Oneshot_Cathay_Tree_Stress	40.0000	40.0000	15.0000	20.0000	1.0000	5.0000	0.4000	1.0000
WH3_Faction_Cathay_Primary_Oneshot_Bamboo	true	Battle_Environment_Cathay_Primary_Oneshot_Bamboo	100.0000	60.0000	20.0000	20.0000	0.0000	10.0000	0.2000	1.0000
WH3_Faction_Cathay_Primary_Oneshot_Flute_Swell	true	Battle_Environment_Cathay_Primary_Oneshot_Flute_Swell	50.0000	100.0000	20.0000	10.0000	60.0000	10.0000	0.2000	1.0000
WH3_Faction_Cathay_Primary_Oneshot_Landslide	true	Battle_Environment_Cathay_Primary_Oneshot_Distant_Rock_Landslide	200.0000	60.0000	30.0000	20.0000	0.0000	10.0000	0.2000	1.0000
WH3_Faction_Cathay_Primary_Oneshot_Rock_Landslide	true	Battle_Environment_Cathay_Primary_Oneshot_Distant_Rock_Landslide	200.0000	60.0000	30.0000	40.0000	0.0000	10.0000	0.2000	1.0000
WH3_Faction_Cathay_Wildlife_Oneshot_Bear	true	Battle_Environment_Cathay_Wildlife_Oneshot_Bear	100.0000	60.0000	60.0000	30.0000	0.0000	10.0000	0.2000	1.0000
WH3_Faction_Cathay_Wildlife_Oneshot_Dragon	true	Battle_Environment_Cathay_Wildlife_Oneshot_Dragon	100.0000	60.0000	25.0000	30.0000	0.0000	15.0000	0.2000	1.0000
