key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time
#projectiles_tables;51;db/projectiles_tables/data__																																																							
placeholder	artillery	artillery_default		shell_spin	1	low	420	60	60	-1.0	10.0	0.0	25	2	true	false	0.120000005	18.0	300.0	40.0	0	0	stone			0.4	true		-1.0	1	0.0	1.0			0.0	false	true	true	45	low	-1	false	false	true	false	1	false	false	false	true	1.0		false	1.2	0.4
wh2_cst_handcannon_bullet	musket	small_arm_default		none	3	low	90	0	88	100.0	10.0	2.0	4	12	false	false	0.050000004	14.0	45.0	3.5	0	0	wh_emp_rifle_bullet		wh2_bullet_multi_impact_large	-1.0	false		-1.0	1	0.0	7.0			0.0	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	1.0		false	0.42	0.4
wh2_cst_necrofex_colossus_cannon_ball	artillery	artillery_default		none	4	low	330	0	45	110.0	20.0	2.0	33	137	true	false	0.2	12.0	225.0	10.0	0	0	wh2_dlc11_cst_necrofex_colossus_cannonball		wh_cannon_necrofex_cannonball_normal	0.3	true		-1.0	1	0.0	340.0			0.0	false	true	true	45	very_high_low_entity	700	false	false	true	false	1	true	false	true	true	1.0		false	0.0	0.4
wh2_cst_necrofex_colossus_flame	artillery	artillery_flammable	wh2_cst_necrofex_colossus_flame_explosion	none	1	low	110	0	88	54.0	60.0	0.0	10	20	false	false	1.0	8.0	75.0	12.0	0	0	wh2_dlc11_necrofex_flamethrower		wh2_dlc11_cst_necrofex_colossus_flamethrower_fire	0.0	true	wh_main_unit_contact_morale	3.0	4	0.35	60.0			1.0	false	true	true	45	medium	170	true	true	false	false	1	false	false	false	true	2.0		false	0.7799999	0.4
wh2_cst_rifle_bullet	musket	small_arm_default		none	1	low	145	0	88	100.0	10.0	0.0	5	17	false	false	0.050000004	14.0	90.0	3.5	0	0	wh_emp_rifle_bullet		wh_bullet	-1.0	false		-1.0	1	0.0	5.0			0.0	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	1.0		false	0.42	0.4
wh2_cst_rifle_deck_gunner_bullet	musket	small_arm_default		none	1	low	245	0	88	100.0	10.0	0.0	8	39	false	false	0.050000004	11.0	145.0	1.8	0	0	wh_emp_rifle_bullet		wh2_bullet_multi_impact_large	-1.0	false	wh2_dlc09_unit_contact_shieldbreaker	-1.0	1	0.0	6.0			0.0	false	true	true	45	low	300	false	false	false	false	1	false	false	false	true	1.0		false	0.42	0.4
wh2_cst_rifle_deck_gunner_bullet_ror	musket	small_arm_default		none	1	low	245	0	88	100.0	10.0	0.0	6	30	false	false	0.050000004	11.0	145.0	1.8	0	0	wh2_dlc11_cst_deck_gunner_ror_bullet		wh2_dlc11_cst_Deck_Gun_RoR_Magical	-1.0	false	wh_dlc06_unit_contact_discouraged	-1.0	1	0.0	6.0			0.0	true	true	true	45	medium_1	300	false	false	false	false	1	false	false	false	true	1.0		false	0.42	0.4
wh2_dlc09_casket_of_souls	artillery	artillery_explosive	wh2_dlc09_casket_of_souls	shell_spin	7	fixed	440	45	88	50.0	20.0	7.0	40	90	false	false	1.0	18.0	300.0	70.0	0	0	wh2_dlc09_casket_of_souls_projectile		wh2_casket_of_souls	0.7	true		20.0	1	0.0	200.0			0.0	true	true	true	35	high_magic	650	false	false	false	true	1	true	false	true	true	1.0		false	0.0	0.4
wh2_dlc09_tmb_skull_projectile	artillery	artillery_default	wh2_dlc09_screaming_skull_explosion	none	1	low	380	35	50	67.0	10.0	0.0	30	120	false	false	0.4	16.0	320.0	80.0	0	0	wh2_dlc09_tmb_skull_projectile		wh2_catapult_screamingskull	0.6	true	wh_main_unit_contact_overhead_morale	-1.0	1	0.0	120.0			0.0	true	true	true	45	large_2	700	false	true	false	true	1	false	false	true	true	1.0		false	0.0	0.4
