campaign_key	faction	faction_difficulty_level	player_faction	player_subculture	faction_potential_bonus
#faction_potential_difficulty_overrides_tables;0;db/faction_potential_difficulty_overrides_tables/data__					
wh3_main_chaos	wh3_dlc20_chs_azazel	AI_VS_HARD		wh3_main_sc_cth_cathay	50
wh3_main_chaos	wh3_dlc20_chs_azazel	AI_VS_LEGENDARY		wh3_main_sc_cth_cathay	100
wh3_main_chaos	wh3_dlc20_chs_azazel	AI_VS_VERY_HARD		wh3_main_sc_cth_cathay	75
wh3_main_chaos	wh3_main_cth_the_northern_provinces	AI_VS_HARD	wh3_dlc20_chs_azazel		50
wh3_main_chaos	wh3_main_cth_the_northern_provinces	AI_VS_HARD	wh3_dlc20_chs_festus		25
wh3_main_chaos	wh3_main_cth_the_northern_provinces	AI_VS_HARD	wh3_dlc20_chs_valkia		25
wh3_main_chaos	wh3_main_cth_the_northern_provinces	AI_VS_HARD	wh3_dlc20_chs_vilitch		25
wh3_main_chaos	wh3_main_cth_the_northern_provinces	AI_VS_HARD		wh3_main_sc_dae_daemons	50
wh3_main_chaos	wh3_main_cth_the_northern_provinces	AI_VS_HARD		wh3_main_sc_kho_khorne	50
wh3_main_chaos	wh3_main_cth_the_northern_provinces	AI_VS_HARD		wh3_main_sc_nur_nurgle	50
wh3_main_chaos	wh3_main_cth_the_northern_provinces	AI_VS_HARD		wh3_main_sc_ogr_ogre_kingdoms	50
wh3_main_chaos	wh3_main_cth_the_northern_provinces	AI_VS_HARD		wh3_main_sc_sla_slaanesh	50
wh3_main_chaos	wh3_main_cth_the_northern_provinces	AI_VS_HARD		wh3_main_sc_tze_tzeentch	50
wh3_main_chaos	wh3_main_cth_the_northern_provinces	AI_VS_LEGENDARY	wh3_dlc20_chs_azazel		100
wh3_main_chaos	wh3_main_cth_the_northern_provinces	AI_VS_LEGENDARY	wh3_dlc20_chs_festus		75
wh3_main_chaos	wh3_main_cth_the_northern_provinces	AI_VS_LEGENDARY	wh3_dlc20_chs_valkia		75
wh3_main_chaos	wh3_main_cth_the_northern_provinces	AI_VS_LEGENDARY	wh3_dlc20_chs_vilitch		75
wh3_main_chaos	wh3_main_cth_the_northern_provinces	AI_VS_LEGENDARY		wh3_main_sc_dae_daemons	100
wh3_main_chaos	wh3_main_cth_the_northern_provinces	AI_VS_LEGENDARY		wh3_main_sc_kho_khorne	100
wh3_main_chaos	wh3_main_cth_the_northern_provinces	AI_VS_LEGENDARY		wh3_main_sc_nur_nurgle	100
wh3_main_chaos	wh3_main_cth_the_northern_provinces	AI_VS_LEGENDARY		wh3_main_sc_ogr_ogre_kingdoms	100
wh3_main_chaos	wh3_main_cth_the_northern_provinces	AI_VS_LEGENDARY		wh3_main_sc_sla_slaanesh	100
wh3_main_chaos	wh3_main_cth_the_northern_provinces	AI_VS_LEGENDARY		wh3_main_sc_tze_tzeentch	100
wh3_main_chaos	wh3_main_cth_the_northern_provinces	AI_VS_VERY_HARD	wh3_dlc20_chs_azazel		75
wh3_main_chaos	wh3_main_cth_the_northern_provinces	AI_VS_VERY_HARD	wh3_dlc20_chs_festus		50
wh3_main_chaos	wh3_main_cth_the_northern_provinces	AI_VS_VERY_HARD	wh3_dlc20_chs_valkia		50
wh3_main_chaos	wh3_main_cth_the_northern_provinces	AI_VS_VERY_HARD	wh3_dlc20_chs_vilitch		50
wh3_main_chaos	wh3_main_cth_the_northern_provinces	AI_VS_VERY_HARD		wh3_main_sc_dae_daemons	75
wh3_main_chaos	wh3_main_cth_the_northern_provinces	AI_VS_VERY_HARD		wh3_main_sc_kho_khorne	75
wh3_main_chaos	wh3_main_cth_the_northern_provinces	AI_VS_VERY_HARD		wh3_main_sc_nur_nurgle	75
wh3_main_chaos	wh3_main_cth_the_northern_provinces	AI_VS_VERY_HARD		wh3_main_sc_ogr_ogre_kingdoms	75
wh3_main_chaos	wh3_main_cth_the_northern_provinces	AI_VS_VERY_HARD		wh3_main_sc_sla_slaanesh	75
wh3_main_chaos	wh3_main_cth_the_northern_provinces	AI_VS_VERY_HARD		wh3_main_sc_tze_tzeentch	75
wh3_main_chaos	wh3_main_cth_the_western_provinces	AI_VS_HARD	wh3_dlc20_chs_azazel		50
