component_id	source	target	attitude_base	negative_attitude_multiplier	positive_attitude_multiplier
#cai_personality_cultural_relations_overrides_tables;1;db/cai_personality_cultural_relations_overrides_tables/data__					
anti_chaos	wh2_main_sc_hef_high_elves	wh2_main_sc_hef_high_elves	50.0	0.75	1.5
anti_chaos	wh2_main_sc_hef_high_elves	wh2_main_sc_lzd_lizardmen	50.0	0.75	1.5
anti_chaos	wh2_main_sc_hef_high_elves	wh3_main_sc_ksl_kislev	50.0	0.75	1.5
anti_chaos	wh2_main_sc_hef_high_elves	wh_main_sc_brt_bretonnia	50.0	0.75	1.5
anti_chaos	wh2_main_sc_hef_high_elves	wh_main_sc_dwf_dwarfs	50.0	0.75	1.5
anti_chaos	wh2_main_sc_hef_high_elves	wh_main_sc_emp_empire	50.0	0.75	1.5
anti_chaos	wh2_main_sc_hef_high_elves	wh_main_sc_teb_teb	50.0	0.75	1.5
anti_chaos	wh2_main_sc_lzd_lizardmen	wh2_main_sc_hef_high_elves	50.0	0.75	1.5
anti_chaos	wh2_main_sc_lzd_lizardmen	wh2_main_sc_lzd_lizardmen	50.0	0.75	1.5
anti_chaos	wh2_main_sc_lzd_lizardmen	wh3_main_sc_ksl_kislev	50.0	0.75	1.5
anti_chaos	wh2_main_sc_lzd_lizardmen	wh_main_sc_brt_bretonnia	50.0	0.75	1.5
anti_chaos	wh2_main_sc_lzd_lizardmen	wh_main_sc_dwf_dwarfs	50.0	0.75	1.5
anti_chaos	wh2_main_sc_lzd_lizardmen	wh_main_sc_emp_empire	50.0	0.75	1.5
anti_chaos	wh2_main_sc_lzd_lizardmen	wh_main_sc_teb_teb	50.0	0.75	1.5
anti_chaos	wh3_main_sc_ksl_kislev	wh2_main_sc_hef_high_elves	50.0	0.75	1.5
anti_chaos	wh3_main_sc_ksl_kislev	wh2_main_sc_lzd_lizardmen	50.0	0.75	1.5
anti_chaos	wh3_main_sc_ksl_kislev	wh_main_sc_brt_bretonnia	50.0	0.75	1.5
anti_chaos	wh3_main_sc_ksl_kislev	wh_main_sc_dwf_dwarfs	50.0	0.75	1.5
anti_chaos	wh3_main_sc_ksl_kislev	wh_main_sc_emp_empire	50.0	0.75	1.5
anti_chaos	wh_main_sc_brt_bretonnia	wh2_main_sc_hef_high_elves	50.0	0.75	1.5
anti_chaos	wh_main_sc_brt_bretonnia	wh2_main_sc_lzd_lizardmen	50.0	0.75	1.5
anti_chaos	wh_main_sc_brt_bretonnia	wh3_main_sc_ksl_kislev	50.0	0.75	1.5
anti_chaos	wh_main_sc_brt_bretonnia	wh_main_sc_brt_bretonnia	50.0	0.75	1.5
anti_chaos	wh_main_sc_brt_bretonnia	wh_main_sc_dwf_dwarfs	50.0	0.75	1.5
anti_chaos	wh_main_sc_brt_bretonnia	wh_main_sc_emp_empire	50.0	0.75	1.5
anti_chaos	wh_main_sc_brt_bretonnia	wh_main_sc_teb_teb	50.0	0.75	1.5
anti_chaos	wh_main_sc_dwf_dwarfs	wh2_main_sc_hef_high_elves	50.0	0.75	1.5
anti_chaos	wh_main_sc_dwf_dwarfs	wh2_main_sc_lzd_lizardmen	50.0	0.75	1.5
anti_chaos	wh_main_sc_dwf_dwarfs	wh3_main_sc_ksl_kislev	50.0	0.75	1.5
anti_chaos	wh_main_sc_dwf_dwarfs	wh_main_sc_brt_bretonnia	50.0	0.75	1.5
anti_chaos	wh_main_sc_dwf_dwarfs	wh_main_sc_dwf_dwarfs	50.0	0.75	1.5
anti_chaos	wh_main_sc_dwf_dwarfs	wh_main_sc_emp_empire	50.0	0.75	1.5
anti_chaos	wh_main_sc_dwf_dwarfs	wh_main_sc_teb_teb	50.0	0.75	1.5
anti_chaos	wh_main_sc_emp_empire	wh2_main_sc_hef_high_elves	50.0	0.75	1.5
anti_chaos	wh_main_sc_emp_empire	wh2_main_sc_lzd_lizardmen	50.0	0.75	1.5
anti_chaos	wh_main_sc_emp_empire	wh3_main_sc_ksl_kislev	50.0	0.75	1.5
anti_chaos	wh_main_sc_emp_empire	wh_main_sc_brt_bretonnia	50.0	0.75	1.5
anti_chaos	wh_main_sc_emp_empire	wh_main_sc_dwf_dwarfs	50.0	0.75	1.5
anti_chaos	wh_main_sc_emp_empire	wh_main_sc_emp_empire	50.0	0.75	1.5
anti_chaos	wh_main_sc_emp_empire	wh_main_sc_teb_teb	50.0	0.75	1.5
anti_chaos	wh_main_sc_teb_teb	wh2_main_sc_hef_high_elves	50.0	0.75	1.5
