campaign_group	resource_factor	base_multiplier	exponent	exponent_multiplier	maximum	minimum	base_amount	scope
#campaign_group_post_battle_looted_pooled_resources_tables;0;db/campaign_group_post_battle_looted_pooled_resources_tables/data__								
wh2_dlc12_lzd_cult_of_sotek	wh2_dlc12_resource_factor_sacrifices_battle	0.007	1.7	0.000100000005	400	1	15	FACTION
wh2_dlc16_skv_clan_moulder	wh2_dlc16_throt_flesh_lab_growth_vat_gain_battles	0.0065	1.5499998	0.000100000005	80	5	10	FACTION
wh2_main_feature_dark_elves	def_slaves_battles	0.0	1.0	0.010000002	250	5	0	FACTION
wh2_main_feature_skaven	skaven_food_captives	0.005	1.3499999	0.000100000005	20	0	0	FACTION
wh3_dlc20_chs_souls_factor_fighting_non_daemon	wh3_dlc20_chs_souls_battle	0.1	0.5	0.2	750	0	0	FACTION
wh3_main_feature_ogre_kingdoms	wh3_main_ogr_meat_factor_battles	0.0	0.75	0.0150000015	50	1	2	MILITARY_FORCE
wh3_main_feature_tzeentch	wh3_main_tze_grimoires_factor_battles	0.0	1.0	0.010000002	250	5	0	FACTION
wh3_main_ksl_devotion_factor_fighting_chaos_beastmen	wh3_main_ksl_devotion_factor_fighting_chaos	0.001	0.010000002	5.0	300	0	0	FACTION
wh3_main_ksl_devotion_factor_fighting_chaos_daemons_of_chaos	wh3_main_ksl_devotion_factor_fighting_chaos	0.010000002	0.010000002	5.0	300	0	0	FACTION
wh3_main_ksl_devotion_factor_fighting_chaos_kislev	wh3_main_ksl_followers_factor_fighting_kislev	-1.0	1.0	-1.0	0	-2	0	FACTION
wh3_main_ksl_devotion_factor_fighting_chaos_norsca	wh3_main_ksl_devotion_factor_fighting_chaos	0.0005	0.010000002	5.0	300	0	0	FACTION
wh3_main_ksl_devotion_factor_fighting_chaos_warriors_of_chaos	wh3_main_ksl_devotion_factor_fighting_chaos	0.005	0.010000002	5.0	300	0	0	FACTION
wh_dlc03_feature_beastmen	wh2_dlc17_bst_dread_gained_battles	0.004	1.6	0.000100000005	125	75	50	FACTION
wh_main_feature_greenskins	grn_salvage_loot	0.0055	1.4	0.000100000005	25	3	3	FACTION
