key	player_prestige	army_cap	level	navy_cap	ai_prestige	province_initiative_cap	campaign	description_lookup	effect_bundle	title_lookup	tooltip_lookup	all_agents_cap
#fame_levels_tables;6;db/fame_levels_tables/data__												
1037553108	50	1	8	0	50	9999	wh3_main_chaos	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
1152857900	24	1	4	0	24	9999	wh3_main_chaos	imperium_05_description		imperium_05_title	imperium_tooltip_05	-1
1174562991	50	1	8	0	50	9999	wh3_main_prologue	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
1295780765	60	1	9	0	60	9999	wh3_main_chaos	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
1327827222	80	1	11	0	80	9999	wh3_main_prologue	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
1345252336	70	1	10	0	70	9999	wh3_main_prologue	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
140039856	150	1	18	0	150	9999	wh3_main_chaos	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
1403266675	110	1	14	0	110	9999	wh3_main_combi	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
1413178338	90	1	12	0	90	9999	wh3_main_prologue	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
1419086772	100	1	13	0	100	9999	wh3_main_combi	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
1435261274	60	1	9	0	60	9999	wh3_main_prologue	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
1482791920	110	1	14	0	110	9999	wh3_main_prologue	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
150443890	110	1	14	0	110	9999	wh3_main_chaos	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
1579661406	130	1	16	0	130	9999	wh3_main_chaos	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
1594084935	30	1	5	0	30	9999	wh3_main_combi	imperium_06_description		imperium_06_title	imperium_tooltip_06	-1
1598932906	18	1	3	0	18	9999	wh3_main_chaos	imperium_04_description		imperium_04_title	imperium_tooltip_04	-1
1653092087	120	1	15	0	120	9999	wh3_main_prologue	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
1653773370	50	1	8	0	50	9999	wh3_main_combi	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
1687236798	150	1	18	0	150	9999	wh3_main_prologue	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
1772226924	130	1	16	0	130	9999	wh3_main_combi	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
1812371918	150	1	18	0	150	9999	wh3_main_combi	imperium_07_description		imperium_07_title	imperium_tooltip_07	-1
