key	texture_filename_base	category
#warscape_animated_tables;2;db/warscape_animated_tables/data__		
brt_trebuchet	warmachines\tex	animation
brt_trebuchet_destruct	warmachines\tex	animation
bst_razorgor_chariot	warmachines\tex	animation
bst_razorgor_chariot_destruction	warmachines\tex	animation
bst_tuskgor_chariot	warmachines\tex	animation
bst_tuskgor_chariot_destruct	warmachines\tex	animation
campaign_building_placeholder1_anim	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_building_siege	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_ship	RigidModels/CampaignPieces/Textures	animation
campaign_ship2	RigidModels/CampaignPieces/Textures	animation
campaign_sho_castle_siege_lvl1	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_castle_siege_lvl2	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_castle_siege_lvl2:sho_custom_kyoto	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_castle_siege_lvl3	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_castle_siege_lvl3:sho_custom_kyoto	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_castle_siege_lvl4	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_castle_siege_lvl4:sho_custom_kyoto	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_castle_siege_lvl5	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_castle_siege_lvl5:sho_custom_kyoto	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_region_specialty_gold_mining_3_mining_complex_anim	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_horses_1_pastures	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_region_specialty_horses_1_pastures_anim	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_horses_2_breeders	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_region_specialty_horses_2_breeders_anim	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_horses_3_warhorse	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_region_specialty_horses_3_warhorse_breeders_anim	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_iron_mining_3_mining_complex_anim	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_stone_1_stonemason	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_stone_1_stonemason_anim	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_stone_2_quarry	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_stone_2_quarry_anim	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_stone_3_stoneworls	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_stone_3_stoneworls_anim	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_trader_trade_cart	RigidModels\CampaignTradeRoutes\Textures	campaign_animation
campaign_trader_trade_ship	RigidModels\campaign\textures	campaign_animation
campaign_trader_villager	RigidModels\CampaignTradeRoutes\Textures	campaign_animation
chariot_celtic	rigidmodels/buildings/textures	animation
chariot_celtic_destruction_anim	rigidmodels/buildings/textures	animation
chariot_egyptian	rigidmodels/buildings/textures	animation
chariot_egyptian_destruction_anim	rigidmodels/buildings/textures	animation
chariot_generic	rigidmodels/buildings/textures	animation
chariot_generic_destruction_anim	rigidmodels/buildings/textures	animation
chariot_roman	rigidmodels/buildings/textures	animation
chariot_roman_destruction_anim	rigidmodels/buildings/textures	animation
chs_chariot_large_draught	warmachines\tex	animation
chs_chariot_large_draught_destruction	warmachines\tex	animation
chs_chariot_mkho_large_draught	warmachines\tex	animation
chs_chariot_mkho_large_draught_destruction	warmachines\tex	animation
chs_chariot_mkho_small_draught	warmachines\tex	animation
chs_chariot_mkho_small_draught_destruction	warmachines\tex	animation
chs_chariot_mnur_large_draught	warmachines\tex	animation
chs_chariot_mnur_large_draught_destruction	warmachines\tex	animation
chs_chariot_mnur_small_draught	warmachines\tex	animation
chs_chariot_mnur_small_draught_destruction	warmachines\tex	animation
chs_chariot_msla_large_draught	warmachines\tex	animation
chs_chariot_msla_large_draught_destruction	warmachines\tex	animation
chs_chariot_msla_small_draught	warmachines\tex	animation
chs_chariot_msla_small_draught_destruction	warmachines\tex	animation
chs_chariot_mtze_large_draught	warmachines\tex	animation
chs_chariot_mtze_large_draught_destruction	warmachines\tex	animation
chs_chariot_mtze_small_draught	warmachines\tex	animation
chs_chariot_mtze_small_draught_destruction	warmachines\tex	animation
chs_chariot_small_draught	warmachines\tex	animation
chs_chariot_small_draught_destruction	warmachines\tex	animation
chs_gorebeast_chariot	warmachines\tex	animation
chs_gorebeast_chariot_destruction	warmachines\tex	animation
chs_hellcannon	warmachines\tex	animation
chs_hellcannon_destruct	warmachines\tex	animation
chs_hellcannon_destruct_ror	warmachines\tex	animation
chs_hellcannon_ror	warmachines\tex	animation
cst_carrionade	warmachines\tex	animation
cst_carrionade_destruct	warmachines\tex	animation
cst_mortar	warmachines\tex	animation
cst_mortar_destruct	warmachines\tex	animation
cst_queen_bess	warmachines\tex	animation
cst_queen_bess_destruct	warmachines\tex	animation
cth_fire_rain_rocket_battery	warmachines\tex	animation
cth_fire_rain_rocket_battery_destruct	warmachines\tex	animation
cth_grand_cannon	warmachines\tex	animation
cth_grand_cannon_destruct	warmachines\tex	animation
cth_war_compass	warmachines\tex	animation
cth_war_compass_destruct	warmachines\tex	animation
dae_gorebeast_chariot	warmachines\tex	animation
dae_gorebeast_chariot_destruction	warmachines\tex	animation
dae_seeker_chariot_01	warmachines\tex	animation
dae_seeker_chariot_destruct	warmachines\tex	animation
dae_seeker_chariot_exalted_01	warmachines\tex	animation
dae_seeker_chariot_exalted_destruct	warmachines\tex	animation
dae_seeker_chariot_hellflayer_01	warmachines\tex	animation
dae_seeker_chariot_hellflayer_destruct	warmachines\tex	animation
def_cauldron_of_blood	warmachines\tex	animation
def_cauldron_of_blood_destruct	warmachines\tex	animation
def_coldone_chariot	warmachines\tex	animation
def_coldone_chariot_destruct	warmachines\tex	animation
def_dlc14_bloodwrack_shrine	warmachines\tex	animation
def_dlc14_bloodwrack_shrine_destruct	warmachines\tex	animation
def_dlc14_scourgerunner_chariot	warmachines\tex	animation
def_dlc14_scourgerunner_chariot_destruct	warmachines\tex	animation
def_dlc14_scourgerunner_chariot_ror	warmachines\tex	animation
def_dlc14_scourgerunner_chariot_ror_destruct	warmachines\tex	animation
def_reaper_bolt_thrower	warmachines\tex	animation
def_reaper_bolt_thrower_destruct	warmachines\tex	animation
dwf_bolt_thrower	warmachines\tex	animation
dwf_bolt_thrower_destruct	warmachines\tex	animation
dwf_cannon	warmachines\tex	animation
dwf_cannon_destruct	warmachines\tex	animation
dwf_flame_cannon	warmachines\tex	animation
dwf_flame_cannon_destruct	warmachines\tex	animation
dwf_grudge_thrower	warmachines\tex	animation
dwf_grudge_thrower_destruct	warmachines\tex	animation
dwf_grudge_thrower_gob	warmachines\tex	animation
dwf_grudge_thrower_gob_destruct	warmachines\tex	animation
dwf_organ_gun	warmachines\tex	animation
dwf_organ_gun_destruct	warmachines\tex	animation
emp_great_cannon	warmachines\tex	animation
emp_great_cannon_destruct	warmachines\tex	animation
emp_great_cannon_hammer	warmachines\tex	animation
emp_great_cannon_hammer_destruct	warmachines\tex	animation
emp_helblaster	warmachines\tex	animation
emp_helblaster_destruct	warmachines\tex	animation
emp_helstorm	warmachines\tex	animation
emp_helstorm_destruct	warmachines\tex	animation
emp_helstorm_sunmaker_01	warmachines\tex	animation
emp_helstorm_sunmaker_destruct_01	warmachines\tex	animation
emp_luminark	warmachines\tex	animation
emp_luminark_destruct	warmachines\tex	animation
emp_luminark_destruct_temple	warmachines\tex	animation
emp_luminark_temple	warmachines\tex	animation
emp_mortar	warmachines\tex	animation
emp_mortar_destruct	warmachines\tex	animation
emp_steam_tank	warmachines\tex	animation
emp_steam_tank_destruct	warmachines\tex	animation
emp_steam_tank_emperors_wrath_destruct	warmachines\tex	animation
emp_steam_tank_ror_0	warmachines\tex	animation
emp_war_altar	warmachines\tex	animation
emp_war_altar_destruct	warmachines\tex	animation
emp_war_wagon	warmachines\tex	animation
emp_war_wagon_destruct	warmachines\tex	animation
emp_war_wagon_hellblaster	warmachines\tex	animation
emp_war_wagon_hellblaster_destruct	warmachines\tex	animation
emp_war_wagon_mortar	warmachines\tex	animation
emp_war_wagon_mortar_destruct	warmachines\tex	animation
fort_rome_testv1_gate01_piece09_destruct01_gate_closing	rigidmodels/buildings/textures	animation
fort_rome_testv1_gate01_piece09_destruct01_gate_opening	rigidmodels/buildings/textures	animation
fort_rome_testv1_gate02_piece10_destruct01_gate_closing	rigidmodels/buildings/textures	animation
fort_rome_testv1_gate02_piece10_destruct01_gate_opening	rigidmodels/buildings/textures	animation
fort_rome_testv1_gate02_piece11_destruct01_gate_closing	rigidmodels/buildings/textures	animation
fort_rome_testv1_gate02_piece11_destruct01_gate_opening	rigidmodels/buildings/textures	animation
fort_rome_testv2_gate01_piece09_destruct01_gate_closing	rigidmodels/buildings/textures	animation
fort_rome_testv2_gate01_piece09_destruct01_gate_opening	rigidmodels/buildings/textures	animation
grn_boar_chariot	warmachines\tex	animation
grn_boar_chariot_destruct	warmachines\tex	animation
grn_doomdiver_catapult	warmachines\tex	animation
grn_doomdiver_catapult_destruct	warmachines\tex	animation
grn_grom_chariot	warmachines\tex	animation
grn_grom_chariot_destruct	warmachines\tex	animation
grn_rocklobber	warmachines\tex	animation
grn_rocklobber_destruct	warmachines\tex	animation
grn_rocklobber_gork	warmachines\tex	animation
grn_rocklobber_gork_destruct	warmachines\tex	animation
grn_snotling_pump_wagon	warmachines\tex	animation
grn_snotling_pump_wagon_destruct	warmachines\tex	animation
grn_snotling_pump_wagon_flappa	warmachines\tex	animation
grn_snotling_pump_wagon_flappa_destruct	warmachines\tex	animation
grn_snotling_pump_wagon_roller	warmachines\tex	animation
grn_snotling_pump_wagon_roller_destruct	warmachines\tex	animation
grn_snotling_pump_wagon_sporesploda	warmachines\tex	animation
grn_snotling_pump_wagon_sporesploda_destruct	warmachines\tex	animation
grn_wolf_chariot	warmachines\tex	animation
grn_wolf_chariot_destruction	warmachines\tex	animation
grn_wolf_chariot_robbers	warmachines\tex	animation
grn_wolf_chariot_robbers_destruct	warmachines\tex	animation
hef_eagle_claw_bolt_thrower	warmachines\tex	animation
hef_eagle_claw_bolt_thrower_destruct	warmachines\tex	animation
hef_tiranoc_chariot	warmachines\tex	animation
