campaign_decision_key	province_governor_key
#province_governor_campaign_decisions_junctions_tables;0;db/province_governor_campaign_decisions_junctions_tables/data__	
wh3_main_campaign_decision_ataman_blood_money	wh3_main_province_governor_ksl_ataman
wh3_main_campaign_decision_ataman_innovate_or_die	wh3_main_province_governor_ksl_ataman
wh3_main_campaign_decision_ataman_judgement	wh3_main_province_governor_ksl_ataman
wh3_main_campaign_decision_ataman_kislev_still_needs_you	wh3_main_province_governor_ksl_ataman
wh3_main_campaign_decision_ataman_kislevian_coin	wh3_main_province_governor_ksl_ataman
wh3_main_campaign_decision_ataman_labour_shortage	wh3_main_province_governor_ksl_ataman
wh3_main_campaign_decision_ataman_loyalties_proven	wh3_main_province_governor_ksl_ataman
wh3_main_campaign_decision_ataman_loyalties_revealed	wh3_main_province_governor_ksl_ataman
wh3_main_campaign_decision_ataman_seeking_refuge	wh3_main_province_governor_ksl_ataman
wh3_main_campaign_decision_ataman_the_black_glove	wh3_main_province_governor_ksl_ataman
wh3_main_campaign_decision_ataman_the_hunt	wh3_main_province_governor_ksl_ataman
wh3_main_campaign_decision_ataman_time_of_dazh	wh3_main_province_governor_ksl_ataman
wh3_main_campaign_decision_ataman_within_or_without	wh3_main_province_governor_ksl_ataman
