key	group	icon	area_of_interest	spline_material	spline_colour	icon_height_offset
#campaign_areas_of_interest_tables;0;db/campaign_areas_of_interest_tables/data__						
wh3_main_ancient_dragon_cave	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ancient_dragon_cave	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_brazen_altar	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_brazen_altar	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_firemouth_volcano	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_firemouth_volcano	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_floating_chaos_island	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_floating_chaos_island	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_golden_monolith	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_golden_monolith	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_grimmenhagen	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_grimmenhagen	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_hel_fenn	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_hel_fenn	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_ice_caverns_of_ymirdrak	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ice_caverns_of_ymirdrak	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_ie_ancient_dragon_cave	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ie_ancient_dragon_cave	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
wh3_main_ie_barrier_idols	wh3_main_areas_of_interest	UI\EventPics\chs\victory.png	wh3_main_ie_barrier_idols	materials/ui/arrow_shaft_turn_1.xml.material		0.0000
