key	faction_effects	faction_leader_effects	group	icon	vo_trigger
#cooking_ingredients_tables;2;db/cooking_ingredients_tables/data__					
wh2_dlc15_ale	wh2_dlc15_food_slime_5		wh2_dlc15_slimes	ui/skins/default/grom_ingredients_stuntie_ale.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
wh2_dlc15_bat	wh2_dlc15_food_bird_1		wh2_dlc15_birds	ui/skins/default/grom_ingredients_bat.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
wh2_dlc15_boar	wh2_dlc15_food_animal_4		wh2_dlc15_animals	ui/skins/default/grom_ingredients_boar.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
wh2_dlc15_clams	wh2_dlc15_food_fish_4		wh2_dlc15_fishes	ui/skins/default/grom_ingredients_clam.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
wh2_dlc15_crab	wh2_dlc15_food_fish_1		wh2_dlc15_fishes	ui/skins/default/grom_ingredients_crab.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
wh2_dlc15_discharge	wh2_dlc15_food_slime_3		wh2_dlc15_slimes	ui/skins/default/grom_ingredients_monster_discharge.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
wh2_dlc15_dragon	wh2_dlc15_food_bird_2		wh2_dlc15_birds	ui/skins/default/grom_ingredients_dragon.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
wh2_dlc15_eagle	wh2_dlc15_food_bird_5		wh2_dlc15_birds	ui/skins/default/grom_ingredients_eagle_talon.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
wh2_dlc15_ectoplasm	wh2_dlc15_food_slime_1		wh2_dlc15_slimes	ui/skins/default/grom_ingredients_ectoplasm.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
wh2_dlc15_glowing	wh2_dlc15_food_mushroom_2		wh2_dlc15_mushrooms	ui/skins/default/grom_ingredients_glowing_shroom.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
wh2_dlc15_goblin	wh2_dlc15_food_animal_2		wh2_dlc15_animals	ui/skins/default/grom_ingredients_goblin_leg.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
wh2_dlc15_gold_fish	wh2_dlc15_food_fish_3		wh2_dlc15_fishes	ui/skins/default/grom_ingredients_gold_fish.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
wh2_dlc15_green	wh2_dlc15_food_mushroom_3		wh2_dlc15_mushrooms	ui/skins/default/grom_ingredients_green_spores.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
wh2_dlc15_harpy	wh2_dlc15_food_bird_3		wh2_dlc15_birds	ui/skins/default/grom_ingredients_harpy_wings.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
wh2_dlc15_indigo	wh2_dlc15_food_mushroom_4		wh2_dlc15_mushrooms	ui/skins/default/grom_ingredients_indigo_milk_cap.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
wh2_dlc15_lion	wh2_dlc15_food_animal_1		wh2_dlc15_animals	ui/skins/default/grom_ingredients_lion_leg.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
wh2_dlc15_lizard	wh2_dlc15_food_animal_5		wh2_dlc15_animals	ui/skins/default/grom_ingredients_lizard_meat.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
wh2_dlc15_milk	wh2_dlc15_food_slime_2		wh2_dlc15_slimes	ui/skins/default/grom_ingredients_centigor_milk.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
wh2_dlc15_pepper	wh2_dlc15_food_mushroom_5		wh2_dlc15_mushrooms	ui/skins/default/grom_ingredients_hell_pepper.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
wh2_dlc15_phoenix	wh2_dlc15_food_bird_4		wh2_dlc15_birds	ui/skins/default/grom_ingredients_phoenix_claws.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
wh2_dlc15_puffer_fish	wh2_dlc15_food_fish_5		wh2_dlc15_fishes	ui/skins/default/grom_ingredients_pufferfish.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
wh2_dlc15_stinky	wh2_dlc15_food_mushroom_1		wh2_dlc15_mushrooms	ui/skins/default/grom_ingredients_stinky_fungi.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
wh2_dlc15_tentacle	wh2_dlc15_food_fish_2		wh2_dlc15_fishes	ui/skins/default/grom_ingredients_tentacles.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
wh2_dlc15_troll	wh2_dlc15_food_animal_3		wh2_dlc15_animals	ui/skins/default/grom_ingredients_troll.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
wh2_dlc15_yolk	wh2_dlc15_food_slime_4		wh2_dlc15_slimes	ui/skins/default/grom_ingredients_spidre_egg_yolk.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
