member	province
#campaign_group_member_criteria_provinces_tables;0;db/campaign_group_member_criteria_provinces_tables/data__	
grn_faction_boost_pool_province_albion	wh3_main_combi_province_albion
grn_faction_boost_pool_province_altdorf	wh3_main_combi_province_altdorf
grn_faction_boost_pool_province_ancient_giant_lands	wh3_main_combi_province_ancient_giant_lands
grn_faction_boost_pool_province_argwylon	wh3_main_combi_province_argwylon
grn_faction_boost_pool_province_ashen_coast	wh3_main_combi_province_ashen_coast
grn_faction_boost_pool_province_atalan_mountains	wh3_main_combi_province_atalan_mountains
grn_faction_boost_pool_province_avelorn	wh3_main_combi_province_avelorn
grn_faction_boost_pool_province_averland	wh3_main_combi_province_averland
grn_faction_boost_pool_province_axe_bite_pass	wh3_main_combi_province_axe_bite_pass
grn_faction_boost_pool_province_aymara_swamps	wh3_main_combi_province_aymara_swamps
grn_faction_boost_pool_province_barrier_idols	wh3_main_combi_province_barrier_idols
grn_faction_boost_pool_province_barrows_of_cuileux	wh3_main_combi_province_barrows_of_cuileux
grn_faction_boost_pool_province_bastonne	wh3_main_combi_province_bastonne
grn_faction_boost_pool_province_black_blood_pass	wh3_main_combi_province_black_blood_pass
grn_faction_boost_pool_province_black_mountains	wh3_main_combi_province_black_mountains
grn_faction_boost_pool_province_black_water	wh3_main_combi_province_black_water
grn_faction_boost_pool_province_blightwater	wh3_main_combi_province_blightwater
grn_faction_boost_pool_province_blood_river_valley	wh3_main_combi_province_blood_river_valley
grn_faction_boost_pool_province_bloodfire_falls	wh3_main_combi_province_bloodfire_falls
grn_faction_boost_pool_province_bone_road	wh3_main_combi_province_bone_road
grn_faction_boost_pool_province_broken_lands_of_tian_li	wh3_main_combi_province_broken_lands_of_tian_li
grn_faction_boost_pool_province_broken_teeth	wh3_main_combi_province_broken_teeth
grn_faction_boost_pool_province_caledor	wh3_main_combi_province_caledor
grn_faction_boost_pool_province_carcassonne	wh3_main_combi_province_carcassonne
grn_faction_boost_pool_province_celestial_lake	wh3_main_combi_province_celestial_lake
grn_faction_boost_pool_province_celestial_riverlands	wh3_main_combi_province_celestial_riverlands
grn_faction_boost_pool_province_central_great_bastion	wh3_main_combi_province_central_great_bastion
grn_faction_boost_pool_province_central_jungles	wh3_main_combi_province_central_jungles
grn_faction_boost_pool_province_chimera_plateau	wh3_main_combi_province_chimera_plateau
grn_faction_boost_pool_province_chrace	wh3_main_combi_province_chrace
grn_faction_boost_pool_province_coast_of_araby	wh3_main_combi_province_coast_of_araby
grn_faction_boost_pool_province_coast_of_lyonesse	wh3_main_combi_province_coast_of_lyonesse
grn_faction_boost_pool_province_copper_desert	wh3_main_combi_province_copper_desert
grn_faction_boost_pool_province_cothique	wh3_main_combi_province_cothique
grn_faction_boost_pool_province_crater_of_the_waking_dead	wh3_main_combi_province_crater_of_the_waking_dead
grn_faction_boost_pool_province_culchan_plains	wh3_main_combi_province_culchan_plains
grn_faction_boost_pool_province_dawns_landing	wh3_main_combi_province_dawns_landing
grn_faction_boost_pool_province_deadrock_gap	wh3_main_combi_province_deadrock_gap
grn_faction_boost_pool_province_deadwood	wh3_main_combi_province_deadwood
grn_faction_boost_pool_province_death_pass	wh3_main_combi_province_death_pass
grn_faction_boost_pool_province_devils_backbone	wh3_main_combi_province_devils_backbone
grn_faction_boost_pool_province_doom_glades	wh3_main_combi_province_doom_glades
grn_faction_boost_pool_province_eagle_gate	wh3_main_combi_province_eagle_gate
grn_faction_boost_pool_province_eastern_badlands	wh3_main_combi_province_eastern_badlands
grn_faction_boost_pool_province_eastern_border_princes	wh3_main_combi_province_eastern_border_princes
grn_faction_boost_pool_province_eastern_colonies	wh3_main_combi_province_eastern_colonies
grn_faction_boost_pool_province_eastern_great_bastion	wh3_main_combi_province_eastern_great_bastion
grn_faction_boost_pool_province_eastern_oblast	wh3_main_combi_province_eastern_oblast
grn_faction_boost_pool_province_eastern_steppes	wh3_main_combi_province_eastern_steppes
grn_faction_boost_pool_province_eataine	wh3_main_combi_province_eataine
grn_faction_boost_pool_province_eight_peaks	wh3_main_combi_province_eight_peaks
grn_faction_boost_pool_province_ellyrion	wh3_main_combi_province_ellyrion
grn_faction_boost_pool_province_estalia	wh3_main_combi_province_estalia
grn_faction_boost_pool_province_forest_of_arden	wh3_main_combi_province_forest_of_arden
grn_faction_boost_pool_province_forest_of_chalons	wh3_main_combi_province_forest_of_chalons
grn_faction_boost_pool_province_forest_of_gloom	wh3_main_combi_province_forest_of_gloom
grn_faction_boost_pool_province_forests_of_the_moon	wh3_main_combi_province_forests_of_the_moon
grn_faction_boost_pool_province_frigid_wasteland	wh3_dlc20_combi_province_frigid_wasteland
grn_faction_boost_pool_province_gash_kadrak	wh3_main_combi_province_gash_kadrak
grn_faction_boost_pool_province_gianthome_mountains	wh3_main_combi_province_gianthome_mountains
grn_faction_boost_pool_province_gisoreux_gap	wh3_main_combi_province_gisoreux_gap
grn_faction_boost_pool_province_gnoblar_country	wh3_main_combi_province_gnoblar_country
grn_faction_boost_pool_province_goromadny_mountains	wh3_main_combi_province_goromadny_mountains
grn_faction_boost_pool_province_granite_hills	wh3_main_combi_province_granite_hills
