bonus_value_id	effect	loyallty_event
#effect_bonus_value_loyalty_event_junctions_tables;0;db/effect_bonus_value_loyalty_event_junctions_tables/data__		
chance_mod	wh2_dlc11_cst_lord_innate_brute_dummy	ANCILLARY_GIVEN
chance_mod	wh2_dlc11_cst_lord_innate_brute_dummy	ANCILLARY_TAKEN
chance_mod	wh2_dlc11_cst_lord_innate_brute_dummy	APPROPRIATE_TREATIES
chance_mod	wh2_dlc11_cst_lord_innate_brute_dummy	CLOSE_DEFEAT
chance_mod	wh2_dlc11_cst_lord_innate_brute_dummy	CLOSE_VICTORY
chance_mod	wh2_dlc11_cst_lord_innate_brute_dummy	COMPLETE_MISSION
chance_mod	wh2_dlc11_cst_lord_innate_brute_dummy	CRUSHING_DEFEAT
chance_mod	wh2_dlc11_cst_lord_innate_brute_dummy	DECISIVE_DEFEAT
chance_mod	wh2_dlc11_cst_lord_innate_brute_dummy	DECISIVE_VICTORY
chance_mod	wh2_dlc11_cst_lord_innate_brute_dummy	FAIL_MISSION
chance_mod	wh2_dlc11_cst_lord_innate_brute_dummy	HEROIC_VICTORY
chance_mod	wh2_dlc11_cst_lord_innate_brute_dummy	INAPPROPRIATE_TREATIES
chance_mod	wh2_dlc11_cst_lord_innate_brute_dummy	OTHER_DEFECTED
chance_mod	wh2_dlc11_cst_lord_innate_brute_dummy	RETIRED
chance_mod	wh2_dlc11_cst_lord_innate_brute_dummy	START_OF_TURN
chance_mod	wh2_dlc11_cst_lord_innate_brute_dummy	STRONGER_THAN_LEADER
chance_mod	wh2_dlc11_cst_lord_innate_brute_dummy	UNIT_GIVEN
chance_mod	wh2_dlc11_cst_lord_innate_brute_dummy	UNIT_TAKEN
chance_mod	wh2_dlc11_cst_lord_innate_brute_dummy	WEAKER_THAN_LEADER
chance_mod	wh2_dlc11_cst_lord_innate_mastermind_dummy	ANCILLARY_GIVEN
chance_mod	wh2_dlc11_cst_lord_innate_mastermind_dummy	ANCILLARY_TAKEN
chance_mod	wh2_dlc11_cst_lord_innate_mastermind_dummy	APPROPRIATE_TREATIES
chance_mod	wh2_dlc11_cst_lord_innate_mastermind_dummy	CLOSE_DEFEAT
chance_mod	wh2_dlc11_cst_lord_innate_mastermind_dummy	CLOSE_VICTORY
chance_mod	wh2_dlc11_cst_lord_innate_mastermind_dummy	COMPLETE_MISSION
chance_mod	wh2_dlc11_cst_lord_innate_mastermind_dummy	CRUSHING_DEFEAT
chance_mod	wh2_dlc11_cst_lord_innate_mastermind_dummy	DECISIVE_DEFEAT
chance_mod	wh2_dlc11_cst_lord_innate_mastermind_dummy	DECISIVE_VICTORY
chance_mod	wh2_dlc11_cst_lord_innate_mastermind_dummy	FAIL_MISSION
chance_mod	wh2_dlc11_cst_lord_innate_mastermind_dummy	HEROIC_VICTORY
chance_mod	wh2_dlc11_cst_lord_innate_mastermind_dummy	INAPPROPRIATE_TREATIES
chance_mod	wh2_dlc11_cst_lord_innate_mastermind_dummy	OTHER_DEFECTED
chance_mod	wh2_dlc11_cst_lord_innate_mastermind_dummy	RETIRED
chance_mod	wh2_dlc11_cst_lord_innate_mastermind_dummy	START_OF_TURN
chance_mod	wh2_dlc11_cst_lord_innate_mastermind_dummy	STRONGER_THAN_LEADER
chance_mod	wh2_dlc11_cst_lord_innate_mastermind_dummy	UNIT_GIVEN
chance_mod	wh2_dlc11_cst_lord_innate_mastermind_dummy	UNIT_TAKEN
chance_mod	wh2_dlc11_cst_lord_innate_mastermind_dummy	WEAKER_THAN_LEADER
amount_mod	wh2_main_effect_character_mod_loyalty_new_turn	START_OF_TURN
amount_mod	wh2_main_effect_character_mod_loyalty_regional	START_OF_TURN
chance_mod	wh2_main_effect_loyalty_penalty_faction_leader_outranked	STRONGER_THAN_LEADER
