army_name	battle_name
#battle_armies_junctions_tables;0;db/battle_armies_junctions_tables/data__	
wh3_main_qb_skrag_cauldron_of_the_great_maw_caverns_of_mourn_attacker_01	qb_wh2_warp_shard_armour
wh3_main_qb_skrag_cauldron_of_the_great_maw_caverns_of_mourn_attacker_02	qb_wh2_warp_shard_armour
wh3_main_qb_skrag_cauldron_of_the_great_maw_caverns_of_mourn_player	qb_wh2_warp_shard_armour
wh3_dlc20_chs_aob_survival_boss_1	qb_wh3_dlc20_chs_altar_of_battle
wh3_dlc20_chs_aob_survival_boss_2	qb_wh3_dlc20_chs_altar_of_battle
wh3_dlc20_chs_aob_survival_boss_3_1	qb_wh3_dlc20_chs_altar_of_battle
wh3_dlc20_chs_aob_survival_boss_3_2	qb_wh3_dlc20_chs_altar_of_battle
wh3_dlc20_chs_aob_survival_boss_3_3	qb_wh3_dlc20_chs_altar_of_battle
wh3_dlc20_chs_valkia_survival_01_1	qb_wh3_dlc20_chs_altar_of_battle
wh3_dlc20_chs_valkia_survival_01_2	qb_wh3_dlc20_chs_altar_of_battle
wh3_dlc20_chs_valkia_survival_02_1	qb_wh3_dlc20_chs_altar_of_battle
wh3_dlc20_chs_valkia_survival_02_2	qb_wh3_dlc20_chs_altar_of_battle
wh3_dlc20_chs_valkia_survival_defenders	qb_wh3_dlc20_chs_altar_of_battle
wh3_dae_survival_01_1	wh3_survival_forge_of_souls_fe
wh3_dae_survival_01_2	wh3_survival_forge_of_souls_fe
wh3_dae_survival_02_1	wh3_survival_forge_of_souls_fe
wh3_dae_survival_02_2	wh3_survival_forge_of_souls_fe
wh3_dae_survival_02_3	wh3_survival_forge_of_souls_fe
wh3_dae_survival_03_1	wh3_survival_forge_of_souls_fe
wh3_dae_survival_03_2	wh3_survival_forge_of_souls_fe
wh3_dae_survival_defenders	wh3_survival_forge_of_souls_fe
wh3_dae_survival_flow_01	wh3_survival_forge_of_souls_fe
wh3_dae_survival_flow_02	wh3_survival_forge_of_souls_fe
wh3_dae_survival_flow_03	wh3_survival_forge_of_souls_fe
wh3_dae_survival_soul_grinders_01	wh3_survival_forge_of_souls_fe
wh3_dae_survival_soul_grinders_02	wh3_survival_forge_of_souls_fe
wh3_dae_survival_soul_grinders_03	wh3_survival_forge_of_souls_fe
wh3_dae_survival_soul_grinders_04	wh3_survival_forge_of_souls_fe
wh3_dae_survival_soul_grinders_05	wh3_survival_forge_of_souls_fe
wh3_dae_survival_soul_grinders_06	wh3_survival_forge_of_souls_fe
wh3_dae_survival_01_1	wh3_survival_forge_of_souls
wh3_dae_survival_01_2	wh3_survival_forge_of_souls
wh3_dae_survival_02_1	wh3_survival_forge_of_souls
wh3_dae_survival_02_2	wh3_survival_forge_of_souls
wh3_dae_survival_02_3	wh3_survival_forge_of_souls
wh3_dae_survival_03_1	wh3_survival_forge_of_souls
wh3_dae_survival_03_2	wh3_survival_forge_of_souls
wh3_dae_survival_defenders	wh3_survival_forge_of_souls
wh3_dae_survival_soul_grinders_01	wh3_survival_forge_of_souls
wh3_dae_survival_soul_grinders_02	wh3_survival_forge_of_souls
wh3_dae_survival_soul_grinders_03	wh3_survival_forge_of_souls
wh3_dae_survival_soul_grinders_04	wh3_survival_forge_of_souls
wh3_dae_survival_soul_grinders_05	wh3_survival_forge_of_souls
wh3_dae_survival_soul_grinders_06	wh3_survival_forge_of_souls
wh3_sla_survival_01_1	wh3_survival_forge_of_souls
wh3_sla_survival_02_1	wh3_survival_forge_of_souls
wh3_sla_survival_03_1	wh3_survival_forge_of_souls
wh3_kho_survival_01_1_easy	wh3_survival_khorne_fe_easy
wh3_kho_survival_01_2_easy	wh3_survival_khorne_fe_easy
wh3_kho_survival_02_1_easy	wh3_survival_khorne_fe_easy
wh3_kho_survival_02_2_easy	wh3_survival_khorne_fe_easy
wh3_kho_survival_03_1_easy	wh3_survival_khorne_fe_easy
wh3_kho_survival_03_2_easy	wh3_survival_khorne_fe_easy
wh3_kho_survival_boss_2_easy	wh3_survival_khorne_fe_easy
wh3_kho_survival_defenders_easy	wh3_survival_khorne_fe_easy
wh3_kho_survival_flow_01_easy	wh3_survival_khorne_fe_easy
wh3_kho_survival_flow_02_easy	wh3_survival_khorne_fe_easy
wh3_kho_survival_flow_03_easy	wh3_survival_khorne_fe_easy
wh3_kho_survival_01_1_hard	wh3_survival_khorne_fe_hard
wh3_kho_survival_01_2_hard	wh3_survival_khorne_fe_hard
wh3_kho_survival_02_1_hard	wh3_survival_khorne_fe_hard
wh3_kho_survival_02_2_hard	wh3_survival_khorne_fe_hard
wh3_kho_survival_03_1_hard	wh3_survival_khorne_fe_hard
wh3_kho_survival_03_2_hard	wh3_survival_khorne_fe_hard
wh3_kho_survival_boss_2_hard	wh3_survival_khorne_fe_hard
wh3_kho_survival_defenders_hard	wh3_survival_khorne_fe_hard
wh3_kho_survival_flow_01_hard	wh3_survival_khorne_fe_hard
wh3_kho_survival_flow_02_hard	wh3_survival_khorne_fe_hard
wh3_kho_survival_flow_03_hard	wh3_survival_khorne_fe_hard
wh3_kho_survival_01_1	wh3_survival_khorne_fe
wh3_kho_survival_01_2	wh3_survival_khorne_fe
wh3_kho_survival_02_1	wh3_survival_khorne_fe
wh3_kho_survival_02_2	wh3_survival_khorne_fe
wh3_kho_survival_03_1	wh3_survival_khorne_fe
wh3_kho_survival_03_2	wh3_survival_khorne_fe
wh3_kho_survival_boss_2	wh3_survival_khorne_fe
wh3_kho_survival_defenders	wh3_survival_khorne_fe
wh3_kho_survival_flow_01	wh3_survival_khorne_fe
wh3_kho_survival_flow_02	wh3_survival_khorne_fe
wh3_kho_survival_flow_03	wh3_survival_khorne_fe
