key	enemy_player_campaign_difficulty	enemy_player_is_human	if_player_is_attacker	if_player_is_defender	player_campaign_difficulty	player_is_human
#autoresolver_player_types_tables;0;db/autoresolver_player_types_tables/data__						
ai_vs_human		true	true	true		false
any			true	true		
attacker_target			true	false		
attacking_ai_vs_human		true	true	false		false
attacking_human_vs_ai		false	true	false		true
defender_target			false	true		
defending_ai_vs_human		true	false	true		false
defending_human_vs_ai		false	false	true		true
human_vs_ai		false	true	true		true
human_vs_ai_easy		false	true	true	easy	true
human_vs_ai_hard		false	true	true	hard	true
human_vs_ai_legendary		false	true	true	legendary	true
human_vs_ai_normal		false	true	true	normal	true
human_vs_ai_vhard		false	true	true	very_hard	true
