id	max_payment_value	payment_treachery_value	payment_offered_multiplier_under	payment_requested_multiplier	payment_offered_multiplier_over	peace_penalty	peace_penalty_turns	war_penalty	war_penalty_turns	trespassing_peace_effect_multiplier	trespassing_peace_effect_cap	trespassing_war_effect_multiplier	trespassing_war_effect_cap	confederation_bonus	short_description	long_description	war_break_treaty_bonus_towards_victory_region_owners	peace_sign_treaty_penalty_towards_victory_region_owners	our_citizenry_confederation_multiplier	their_citizenry_confederation_multiplier	nonpenalised_trade_agreement_base	additional_nonpenalised_trade_agreements_per_region	trade_agreement_modifier_per_exceeded_trade_agreements	recent_treaty_modifier	recent_treaty_modifier_turns	recent_treaty_broken_modifier	recent_treaty_broken_modifier_turns	original_offer_modifier	confederation_territory_gain_modifier	confederation_territory_gain_modifier_turns
#cai_personality_deal_evaluation_components_tables;15;db/cai_personality_deal_evaluation_components_tables/data__																														
wh3_deal_eval_beastmen	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_beastmen_major	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_beastmen_minor	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_bretonnia	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_bretonnia_major	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_bretonnia_minor	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_cathay	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_cathay_minor	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
wh3_deal_eval_chaos	15.0	0.0	5.0	2.0	20.0	30.0	10.0	30.0	10.0	0.1	15.0	-0.1	15.0	10.0			0.0	0.0	0.0	0.0	3.0	0.2	-3.0	-25.0	5e-323	-25.0	5e-323	0.0	-30.0	5e-323
