key	ammo_caisson_destroyed_model	ammo_caisson_destruction	ammo_caisson_entity	ammo_caisson_model	articulated_entity	articulation_node_1_offset	articulation_node_1_radius	articulation_node_2_offset	articulation_node_2_radius	articulation_node_3_offset	articulation_node_3_radius	articulation_max_angle	head_offset
#land_unit_articulated_vehicles_tables;4;db/land_unit_articulated_vehicles_tables/data__													
articulated		vmp_black_coach_01			wh_main_vehicle_vmp_black_coach_chariot	1.25	1.75	4.0	0.95	6.0	0.95	45.0	2.2
wh2_dlc09_tmb_chariot		vmp_black_coach_01			wh2_dlc09_tmb_vehicle_chariot_horse_articulation	0.5	1.75	3.2	0.25	5.0	1.5	50.0	1.8
wh2_dlc09_tmb_chariot_arkhan		vmp_black_coach_01			wh2_dlc09_tmb_vehicle_chariot_arkhan_articulation	0.5	1.75	3.2	0.25	5.0	1.5	50.0	1.8
wh2_dlc09_tmb_chariot_settra		vmp_black_coach_01			wh2_dlc09_tmb_vehicle_chariot_settra_articulation	0.5	1.75	3.2	0.25	5.0	1.5	50.0	1.8
wh2_dlc13_emp_war_wagon		vmp_black_coach_01			wh2_dlc13_vehicle_war_wagon_articulation	1.25	2.1499999	3.7	0.25	6.0	1.9	57.0	2.2
wh2_dlc13_emp_war_wagon_artillery		vmp_black_coach_01			wh2_dlc13_vehicle_war_wagon_articulation_artillery	1.25	2.1499999	3.7	0.25	6.0	1.9	57.0	2.2
wh2_dlc14_def_scourgerunner_chariot		vmp_black_coach_01			wh2_dlc14_def_scourgerunner_chariot_articulation	-0.25	1.75	3.6499999	0.25	6.0	2.0	85.0	2.2
wh2_dlc15_grn_grom_chariot		vmp_black_coach_01			wh2_dlc15_vehicle_grn_grom_chariot_articulation	0.8999999	1.6	3.4	0.25	4.7	1.0	45.0	1.8
wh2_dlc17_bst_tuskgor_chariot		vmp_black_coach_01			wh2_dlc17_veh_bst_tuskgor_chariot_articulation	0.5	1.25	2.0	0.25	3.5	1.25	50.0	2.0
wh2_main_def_cold_one_chariot		vmp_black_coach_01			wh2_main_def_cold_one_chariot_articulation	-0.25	2.0	3.6499999	0.25	6.0	2.0	85.0	2.2
wh2_main_hef_ithilmar_chariot		vmp_black_coach_01			wh2_main_hef_ithilmar_chariot_articulation	0.5	1.75	2.9	0.25	5.0	1.75	70.0	2.6
wh2_main_hef_tiranoc_chariot		vmp_black_coach_01			wh2_main_hef_tiranoc_chariot_articulation	0.5	1.75	2.9	0.25	5.0	1.75	70.0	2.6
wh3_main_cth_art_grand_cannon_articulation		vmp_black_coach_01			wh3_main_cth_art_grand_cannon_articulation	0.45	2.1499999	3.2	0.25	5.5	1.9	10.0	2.2
wh3_main_ogr_gnoblar_scraplauncher		vmp_black_coach_01			wh3_main_ogr_veh_scraplauncher_articulation	0.2	1.6	3.2	0.25	6.0	1.9	25.0	2.0
wh3_main_vehicle_heavy_war_sled		vmp_black_coach_01			wh3_main_vehicle_heavy_war_sled_articulation	0.45	2.1499999	3.5	0.25	6.0	1.9	40.0	2.2
wh3_main_vehicle_light_war_sled		vmp_black_coach_01			wh3_main_vehicle_light_war_sled_articulation	0.45	2.1499999	3.5	0.25	6.0	1.9	40.0	2.2
wh3_main_vehicle_little_grom		vmp_black_coach_01			wh3_main_vehicle_little_grom_articulation	0.45	2.1499999	3.5	0.25	6.0	1.9	40.0	2.2
wh3_main_vehicle_sla_exalted_seeker_chariot		vmp_black_coach_01			wh3_main_vehicle_sla_exalted_seeker_chariot_articulation	0.5	2.0	3.2	0.25	5.5	2.0	30.0	1.8
wh3_main_vehicle_sla_hellflayer		vmp_black_coach_01			wh3_main_vehicle_sla_hellflayer_articulation	1.0	2.0	3.5	0.25	5.5	1.5	30.0	1.8
