key	close_formation_spacing_horizontal	close_formation_spacing_variation	close_formation_spacing_vertical	dismounted_close_formation_spacing_horizontal	dismounted_close_formation_spacing_variation	dismounted_close_formation_spacing_vertical	dismounted_loose_formation_spacing_horizontal	dismounted_loose_formation_spacing_variation	dismounted_loose_formation_spacing_vertical	loose_formation_spacing_horizontal	loose_formation_spacing_variation	loose_formation_spacing_vertical	routing_space_variation	is_chaotic_formation
#unit_spacings_tables;5;db/unit_spacings_tables/data__														
monstrous_cavalry_chaotic	3.2	1.1	5.0	2.4	0.4	2.4	4.0	1.0	24.0	5.6	4.0	10.0	3.0	false
ship_five	38.0	50.0	76.0	1.0	1.0	1.0	1.0	0.0	55.0	10.0	50.0	10.0	3.0	false
wh2_dlc09_necroserpents	4.5	0.6	6.0	2.4	0.4	2.4	4.0	1.0	24.0	8.0	1.6	10.0	3.0	false
wh2_dlc09_necroserpents_ror	10.0	1.0	12.0	4.0	4.0	4.0	8.0	3.0	24.0	16.0	3.0	18.0	3.0	false
wh2_dlc09_stalkers	5.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	4.0	12.0	3.0	false
wh2_dlc09_tmb_carrions	8.8	2.5	6.0	1.2	1.0	1.0	1.0	1.0	1.0	1.8	0.8	5.0	3.0	false
wh2_dlc09_tmb_chariot	9.0	1.0	13.0	1.0	0.0	1.0	2.0	0.0	2.0	10.0	0.0	14.0	3.0	false
wh2_dlc09_tmb_squig_exploding	2.1	1.0	2.1	2.1	0.0	2.1	2.1	0.0	2.1	2.1	0.0	2.1	3.0	false
wh2_dlc11_cst_rotting_prometheans	9.5	3.0	11.0	1.0	1.0	1.0	1.0	1.0	1.0	1.5	1.0	1.5	1.0	false
wh2_dlc11_infantry_depth_guard	2.2	0.8	2.0	1.0	0.0	1.0	1.0	0.0	1.0	2.2	0.8	2.2	3.0	false
wh2_dlc12_inf_salamanders	5.0	2.0	7.0	3.0	1.0	3.0	3.0	1.0	3.0	5.0	1.2	7.0	3.0	false
wh2_dlc12_skv_doom_flayer	9.0	1.0	14.0	1.0	0.0	1.0	2.0	0.0	2.0	9.0	0.0	14.0	3.0	false
wh2_dlc13_dread_saurian	18.0	0.0	25.0	1.0	1.0	1.0	1.0	1.0	1.0	18.0	0.0	25.0	3.0	false
wh2_dlc13_emp_inf_archers	2.0	1.1	2.1	1.0	0.0	1.0	1.0	0.0	1.0	2.0	1.5	2.0	3.0	false
wh2_dlc13_emp_inf_huntsmen	2.5	1.3	2.4	1.0	0.0	1.0	1.0	0.0	1.0	2.0	1.5	2.0	3.0	false
wh2_dlc13_mon_razordons	5.0	2.0	7.0	3.0	1.0	3.0	3.0	1.0	3.0	5.0	1.2	7.0	3.0	false
wh2_dlc13_monstrous_kroxigor_sacred	7.0	1.8	6.0	1.0	1.0	1.0	1.0	1.0	1.0	11.0	3.0	13.0	3.0	false
wh2_dlc15_hef_war_lions	3.6	1.5	5.2	1.2	1.0	1.0	1.0	1.0	1.0	2.8	0.8	5.0	3.0	false
wh2_dlc15_super_monstrous_cavalry_flying	13.0	0.0	9.0	1.0	1.0	1.0	1.0	1.0	1.0	16.0	0.0	12.0	3.0	false
wh2_dlc16_cavalry_great_stag_knights	4.5	0.4	5.0	1.2	1.0	1.0	1.0	1.0	1.0	0.6	0.8	5.0	3.0	false
wh2_main_cavalry_cold_ones	3.6	1.5	5.2	1.2	1.0	1.0	1.0	1.0	1.0	2.8	0.8	5.0	3.0	false
wh2_main_def_infantry_skirmish	2.4	0.90000004	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.7	1.5	1.7	3.0	false
wh2_main_hef_infantry_chaotic	2.0	0.90000004	2.0	1.0	0.0	1.0	1.0	0.0	1.0	2.1	0.8	2.1	3.0	false
wh2_main_inf_2handed_ordered	1.75	0.0	1.8	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh2_main_inf_chaotic_formation	1.9000001	2.8	1.9000001	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	true
wh2_main_inf_chaotic_formation_loose	2.2	2.8	2.8	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	true
wh2_main_inf_chaotic_formation_tight	1.6	2.8	1.8	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	true
wh2_main_infantry_chaotic_rabble	1.8	0.85	1.8	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh2_main_infantry_medium_rabble	1.8	0.4	1.9000001	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh2_main_lzd_infantry_skink_cohort	1.4499999	0.2	1.9000001	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
wh2_main_lzd_saurus	2.6	0.90000004	2.9	1.0	0.0	1.0	1.0	0.0	1.0	2.1	0.8	2.1	3.0	false
wh2_main_lzd_terradon	8.4	2.0	6.2	1.0	1.0	1.0	1.0	1.0	1.0	10.0	4.0	12.0	3.0	false
wh2_main_skv_infantry_chaotic_summoned	1.6	5.0	1.7	1.0	0.0	1.0	1.0	0.0	1.0	2.0	5.0	2.0	3.0	false
wh2_main_skv_weaponteam	3.4	1.0	4.3	2.4	0.4	2.4	4.0	1.0	24.0	5.6	1.6	10.0	3.0	false
wh2_main_skv_weaponteam_grinders	5.2	1.0	5.3	1.0	1.0	1.0	4.0	1.0	24.0	4.0	0.0	10.0	3.0	false
wh2_main_skv_weaponteam_jezzails	4.4	2.0	4.3	2.4	1.0	2.4	4.0	2.5	24.0	6.4	2.0	10.0	3.0	false
wh2_main_skv_weaponteam_mortars	4.8	1.0	5.8	1.2	1.0	1.2	1.0	0.0	1.0	6.6	0.4	10.0	3.0	true
wh3_main_bear_cavalry	5.8	1.1	6.0	5.0	5.0	5.0	6.0	1.0	24.0	10.0	2.0	12.0	3.0	false
wh3_main_bloodcrushers	3.8	1.1	4.8	2.4	0.4	2.4	4.0	1.0	24.0	5.6	1.6	10.0	3.0	false
wh3_main_cavalry_plague_toads	5.5	3.0	6.5	1.2	1.0	1.0	1.0	1.0	1.0	2.8	0.8	5.0	3.0	true
wh3_main_cth_crane_gunners	4.4	1.1	4.3	2.4	1.0	2.4	4.0	2.5	24.0	6.4	2.0	10.0	3.0	false
wh3_main_cth_infantry	1.4	0.0	1.6	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	false
