additional_effect_list	initiative	technology	visible_in_ui
#technology_initiative_effects_tables;1;db/technology_initiative_effects_tables/data__			
wh3_dlc20_initiative_upgrade_all_kho_authority	wh3_dlc20_faction_initiative_chs_khorne_1_army_xp	wh3_dlc20_chs_kho_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_kho_authority	wh3_dlc20_faction_initiative_chs_khorne_1_economy_post_battle_income	wh3_dlc20_chs_kho_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_kho_authority	wh3_dlc20_faction_initiative_chs_khorne_1_units_bloodletters	wh3_dlc20_chs_kho_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_kho_authority	wh3_dlc20_faction_initiative_chs_khorne_1_units_flesh_hounds	wh3_dlc20_chs_kho_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_kho_authority	wh3_dlc20_faction_initiative_chs_khorne_2_army_upgrades	wh3_dlc20_chs_kho_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_kho_authority	wh3_dlc20_faction_initiative_chs_khorne_3_characters_marking	wh3_dlc20_chs_kho_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_kho_authority	wh3_dlc20_faction_initiative_chs_khorne_3_units_skullcannons	wh3_dlc20_chs_kho_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_kho_authority	wh3_dlc20_faction_initiative_chs_khorne_3_units_warshrine	wh3_dlc20_chs_kho_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_kho_authority	wh3_dlc20_faction_initiative_chs_khorne_5_units_bloodthirsters	wh3_dlc20_chs_kho_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_kho_authority	wh3_dlc20_faction_initiative_chs_khorne_5_units_soul_grinder	wh3_dlc20_chs_kho_shared_gift_upgrade_authority	false
wh3_dlc20_initiative_upgrade_all_kho_corruption	wh3_dlc20_faction_initiative_chs_khorne_1_army_xp	wh3_dlc20_chs_kho_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_kho_corruption	wh3_dlc20_faction_initiative_chs_khorne_1_economy_post_battle_income	wh3_dlc20_chs_kho_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_kho_corruption	wh3_dlc20_faction_initiative_chs_khorne_1_units_bloodletters	wh3_dlc20_chs_kho_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_kho_corruption	wh3_dlc20_faction_initiative_chs_khorne_1_units_flesh_hounds	wh3_dlc20_chs_kho_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_kho_corruption	wh3_dlc20_faction_initiative_chs_khorne_2_army_upgrades	wh3_dlc20_chs_kho_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_kho_corruption	wh3_dlc20_faction_initiative_chs_khorne_3_characters_marking	wh3_dlc20_chs_kho_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_kho_corruption	wh3_dlc20_faction_initiative_chs_khorne_3_units_skullcannons	wh3_dlc20_chs_kho_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_kho_corruption	wh3_dlc20_faction_initiative_chs_khorne_3_units_warshrine	wh3_dlc20_chs_kho_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_kho_corruption	wh3_dlc20_faction_initiative_chs_khorne_5_units_bloodthirsters	wh3_dlc20_chs_kho_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_kho_corruption	wh3_dlc20_faction_initiative_chs_khorne_5_units_soul_grinder	wh3_dlc20_chs_kho_shared_gift_upgrade_corruption	false
wh3_dlc20_initiative_upgrade_all_kho_diplomacy	wh3_dlc20_faction_initiative_chs_khorne_1_army_xp	wh3_dlc20_chs_kho_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_all_kho_diplomacy	wh3_dlc20_faction_initiative_chs_khorne_1_economy_post_battle_income	wh3_dlc20_chs_kho_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_all_kho_diplomacy	wh3_dlc20_faction_initiative_chs_khorne_1_units_bloodletters	wh3_dlc20_chs_kho_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_all_kho_diplomacy	wh3_dlc20_faction_initiative_chs_khorne_1_units_flesh_hounds	wh3_dlc20_chs_kho_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_all_kho_diplomacy	wh3_dlc20_faction_initiative_chs_khorne_2_army_upgrades	wh3_dlc20_chs_kho_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_all_kho_diplomacy	wh3_dlc20_faction_initiative_chs_khorne_3_characters_marking	wh3_dlc20_chs_kho_shared_gift_upgrade_diplomacy	false
wh3_dlc20_initiative_upgrade_all_kho_diplomacy	wh3_dlc20_faction_initiative_chs_khorne_3_units_skullcannons	wh3_dlc20_chs_kho_shared_gift_upgrade_diplomacy	false
