key	character_outcome	effect_bundle_warden_faction	effect_bundle_prisoner_faction	max_usages	audio_trigger
#campaign_prison_actions_tables;1;db/campaign_prison_actions_tables/data__					
wh2_dlc15_prison_action_execute	KILL	wh2_dlc15_hef_dungeon_execute		9999999	Play_hef_eltharion_ward_of_eternity_execution
wh2_dlc15_prison_action_indoctrinate	RELEASE	wh2_dlc15_hef_dungeon_indoctrinate		9999999	Play_hef_eltharion_ward_of_eternity_indoctrination
wh2_dlc15_prison_action_interrogate_beastmen	KEEP	wh2_dlc15_hef_dungeon_mistwalker_upgrade_beastmen		1	Play_hef_eltharion_ward_of_eternity_interrogation
wh2_dlc15_prison_action_interrogate_bretonnia	KEEP	wh2_dlc15_hef_dungeon_mistwalker_upgrade_bretonnia		1	Play_hef_eltharion_ward_of_eternity_interrogation
wh2_dlc15_prison_action_interrogate_cathay	KEEP	wh2_dlc15_hef_dungeon_mistwalker_upgrade_cathay		1	Play_hef_eltharion_ward_of_eternity_interrogation
wh2_dlc15_prison_action_interrogate_chaos_warriors	KEEP	wh2_dlc15_hef_dungeon_mistwalker_upgrade_chaos_warriors		1	Play_hef_eltharion_ward_of_eternity_interrogation
wh2_dlc15_prison_action_interrogate_daemons	KEEP	wh2_dlc15_hef_dungeon_mistwalker_upgrade_daemons		1	Play_hef_eltharion_ward_of_eternity_interrogation
wh2_dlc15_prison_action_interrogate_dark_elves	KEEP	wh2_dlc15_hef_dungeon_mistwalker_upgrade_dark_elves		1	Play_hef_eltharion_ward_of_eternity_interrogation
wh2_dlc15_prison_action_interrogate_dwarfs	KEEP	wh2_dlc15_hef_dungeon_mistwalker_upgrade_dwarfs		1	Play_hef_eltharion_ward_of_eternity_interrogation
wh2_dlc15_prison_action_interrogate_empire	KEEP	wh2_dlc15_hef_dungeon_mistwalker_upgrade_empire		1	Play_hef_eltharion_ward_of_eternity_interrogation
wh2_dlc15_prison_action_interrogate_greenskins	KEEP	wh2_dlc15_hef_dungeon_mistwalker_upgrade_greenskins		1	Play_hef_eltharion_ward_of_eternity_interrogation
wh2_dlc15_prison_action_interrogate_high_elves	KEEP	wh2_dlc15_hef_dungeon_mistwalker_upgrade_high_elves		1	Play_hef_eltharion_ward_of_eternity_interrogation
wh2_dlc15_prison_action_interrogate_kislev	KEEP	wh2_dlc15_hef_dungeon_mistwalker_upgrade_kislev		1	Play_hef_eltharion_ward_of_eternity_interrogation
wh2_dlc15_prison_action_interrogate_lizardmen	KEEP	wh2_dlc15_hef_dungeon_mistwalker_upgrade_lizardmen		1	Play_hef_eltharion_ward_of_eternity_interrogation
wh2_dlc15_prison_action_interrogate_norsca	KEEP	wh2_dlc15_hef_dungeon_mistwalker_upgrade_norsca		1	Play_hef_eltharion_ward_of_eternity_interrogation
wh2_dlc15_prison_action_interrogate_ogre_kingdoms	KEEP	wh2_dlc15_hef_dungeon_mistwalker_upgrade_ogre_kingdoms		1	Play_hef_eltharion_ward_of_eternity_interrogation
wh2_dlc15_prison_action_interrogate_rogue_army	KEEP	wh2_dlc15_hef_dungeon_mistwalker_upgrade_rogue_army		1	Play_hef_eltharion_ward_of_eternity_interrogation
wh2_dlc15_prison_action_interrogate_savage	KEEP	wh2_dlc15_hef_dungeon_mistwalker_upgrade_greenskins		1	Play_hef_eltharion_ward_of_eternity_interrogation
wh2_dlc15_prison_action_interrogate_skaven	KEEP	wh2_dlc15_hef_dungeon_mistwalker_upgrade_skaven		1	Play_hef_eltharion_ward_of_eternity_interrogation
wh2_dlc15_prison_action_interrogate_teb	KEEP	wh2_dlc15_hef_dungeon_mistwalker_upgrade_empire		1	Play_hef_eltharion_ward_of_eternity_interrogation
wh2_dlc15_prison_action_interrogate_tomb_kings	KEEP	wh2_dlc15_hef_dungeon_mistwalker_upgrade_tomb_kings		1	Play_hef_eltharion_ward_of_eternity_interrogation
wh2_dlc15_prison_action_interrogate_vampire_coast	KEEP	wh2_dlc15_hef_dungeon_mistwalker_upgrade_vampire_coast		1	Play_hef_eltharion_ward_of_eternity_interrogation
wh2_dlc15_prison_action_interrogate_vampire_counts	KEEP	wh2_dlc15_hef_dungeon_mistwalker_upgrade_vampire_counts		1	Play_hef_eltharion_ward_of_eternity_interrogation
wh2_dlc15_prison_action_interrogate_wood_elves	KEEP	wh2_dlc15_hef_dungeon_mistwalker_upgrade_wood_elves		1	Play_hef_eltharion_ward_of_eternity_interrogation
