id	diplomatic_factor_group_active	diplomatic_factor_group_inactive	strategic_threat_multiplier_mod	is_transitive
#cai_personality_diplomatic_events_tables;4;db/cai_personality_diplomatic_events_tables/data__				
ALLY_CALLED_TO_JOIN_DEFENSIVE_WAR			0.0	false
ALLY_CALLED_TO_JOIN_OFFENSIVE_WAR			0.0	false
ALLY_REFUSED_TO_JOIN_WAR	diplomatic_factor_broken_treaties		0.0	true
BATTLE_ALLY_SUPPORT_REFUSED	diplomatic_factor_war_atrocities		0.0	true
BATTLE_ATTACK	diplomatic_factor_war_atrocities		0.0	true
BATTLE_ATTACK_OFFENSIVE	diplomatic_factor_war_atrocities		0.2	true
BATTLE_ATTACK_OWN_REGION	diplomatic_factor_war_atrocities		0.0	true
BATTLE_SUPPORT	diplomatic_factor_reinforcements		0.0	true
CARAVAN_SCRIPT	diplomatic_factor_caravan		0.0	false
CHAOS_REALM_VICTORY_KHORNE			0.0	true
CHAOS_REALM_VICTORY_NURGLE			0.0	true
CHAOS_REALM_VICTORY_SLAANESH			0.0	true
CHAOS_REALM_VICTORY_TZEENTCH			0.0	true
CITY_BESIEGED	diplomatic_factor_war_atrocities		0.0	true
CITY_LOOTED	diplomatic_factor_war_atrocities		0.2	true
CITY_OCCUPIED	diplomatic_factor_war_atrocities		0.2	true
CITY_RAZED	diplomatic_factor_war_atrocities		0.5	true
CITY_SACKED	diplomatic_factor_war_atrocities		0.15	true
CLIENT_STATE	diplomatic_factor_treaties	diplomatic_factor_past_treaties	0.0	true
CLIENT_STATE_BROKEN	diplomatic_factor_broken_treaties		0.0	true
CULTURAL_DIFFERENCES	diplomatic_factor_cultural_differences		0.0	true
CULTURAL_DIFFERENCES_FACTION	diplomatic_factor_cultural_differences_personality		0.0	true
CULTURAL_DIFFERENCES_LEADER			0.0	true
CULTURAL_SIMILARITIES	diplomatic_factor_cultural_similarities		0.0	true
CULTURAL_SIMILARITIES_FACTION	diplomatic_factor_cultural_similarities_personality		0.0	true
CULTURAL_SIMILARITIES_LEADER			0.0	true
DEFENSIVE_ALLIANCE	diplomatic_factor_treaties	diplomatic_factor_past_treaties	0.0	true
DEFENSIVE_ALLIANCE_BROKEN	diplomatic_factor_broken_treaties		0.0	true
DEFENSIVE_ALLIANCE_PAST	diplomatic_factor_past_treaties		0.0	true
DEMANDED_TRIBUTE			0.0	false
DILEMMA_BONUS_LARGE	diplomatic_factor_dilemma_events		0.0	true
DILEMMA_BONUS_MEDIUM	diplomatic_factor_dilemma_events		0.0	true
DILEMMA_BONUS_SMALL	diplomatic_factor_dilemma_events		0.0	true
DILEMMA_BONUS_XLARGE	diplomatic_factor_dilemma_events		0.0	true
DILEMMA_BONUS_XXLARGE	diplomatic_factor_dilemma_events		0.0	true
DILEMMA_BONUS_XXXLARGE	diplomatic_factor_dilemma_events		0.0	true
DILEMMA_PENALTY_LARGE	diplomatic_factor_dilemma_events		0.0	true
DILEMMA_PENALTY_MEDIUM	diplomatic_factor_dilemma_events		0.0	true
DILEMMA_PENALTY_SMALL	diplomatic_factor_dilemma_events		0.0	true
DILEMMA_PENALTY_XLARGE	diplomatic_factor_dilemma_events		0.0	true
DILEMMA_PENALTY_XXLARGE	diplomatic_factor_dilemma_events		0.0	true
DILEMMA_PENALTY_XXXLARGE	diplomatic_factor_dilemma_events		0.0	true
DIPLOMATIC_MARRIAGE			0.0	true
DIVORCE			0.0	true
EXPANSIONISM	diplomatic_factor_expansion		0.0	true
FACTION_KILLED	diplomatic_factor_war_atrocities		0.0	true
FACTION_LIBERATED	diplomatic_factor_liberation		0.0	true
FOREIGN_SLOT_RENOUNCED	diplomatic_factor_renounced_allied_slot		0.0	true
HOSTILE_AGENT_ACTION	diplomatic_factor_agent_actions		0.0	true
HOSTILE_AGENT_ACTION_TOWARDS_ALLY	diplomatic_factor_agent_actions		0.0	true
JOINED_CONFEDERATION	diplomatic_factor_confederation		0.0	true
MILITARY_ACCESS	diplomatic_factor_treaties	diplomatic_factor_past_treaties	0.0	true
MILITARY_ACCESS_BROKEN	diplomatic_factor_broken_treaties		0.0	true
MILITARY_ACCESS_DISSOLVED	diplomatic_factor_broken_treaties		0.0	true
MILITARY_ALLIANCE	diplomatic_factor_treaties	diplomatic_factor_past_treaties	0.0	true
MILITARY_ALLIANCE_BROKEN	diplomatic_factor_broken_treaties		0.0	true
MILITARY_ALLIANCE_PAST	diplomatic_factor_past_treaties		0.0	true
NON_AGGRESSION_PACT	diplomatic_factor_treaties	diplomatic_factor_past_treaties	0.0	true
NON_AGGRESSION_PACT_BROKEN	diplomatic_factor_broken_treaties		0.0	true
NON_AGGRESSION_PACT_PAST	diplomatic_factor_past_treaties		0.0	true
OTHER_STUFF	diplomatic_factor_confederation_subculture_penalty		0.0	true
PAST_EVENT_NEGATIVE_MAJOR	diplomatic_factor_past_events		0.0	false
PAST_EVENT_NEGATIVE_MINOR	diplomatic_factor_past_events		0.0	false
PAST_EVENT_NEGATIVE_MODERATE	diplomatic_factor_past_events		0.0	false
PAST_EVENT_POSITIVE_MAJOR	diplomatic_factor_past_events		0.0	false
PAST_EVENT_POSITIVE_MINOR	diplomatic_factor_past_events		0.0	false
PAST_EVENT_POSITIVE_MODERATE	diplomatic_factor_past_events		0.0	false
PEACE	diplomatic_factor_treaties	diplomatic_factor_past_treaties	-0.3	true
RAIDING	diplomatic_factor_raiding		0.0	true
REBELLED_AGAINST	diplomatic_factor_rebellion		0.0	true
REGION_GIFT	diplomatic_factor_gifts		0.0	true
RELIGIOUS_DIFFERENCES			0.0	true
RELIGIOUS_DIFFERENCES_FACTION			0.0	true
RELIGIOUS_DIFFERENCES_LEADER			0.0	true
RELIGIOUS_SIMILARITIES			0.0	true
RELIGIOUS_SIMILARITIES_FACTION	diplomatic_factor_cultural_similarities_personality		0.0	true
RELIGIOUS_SIMILARITIES_LEADER			0.0	true
RETREATED_FROM_BATTLE			0.0	false
RITUALS	diplomatic_factor_rituals		0.0	true
STATE_GIFT_ACCEPTED	diplomatic_factor_gifts		0.0	true
STATE_GIFT_LARGE	diplomatic_factor_gifts		0.0	true
STATE_GIFT_MEDIUM	diplomatic_factor_gifts		0.0	true
STATE_GIFT_REFUSED	diplomatic_factor_broken_treaties		0.0	true
STATE_GIFT_SMALL	diplomatic_factor_gifts		0.0	true
TECHNOLOGIES	diplomatic_factor_technology		0.0	true
TRADE_AGREEMENT	diplomatic_factor_treaties	diplomatic_factor_past_treaties	0.0	true
TRADE_AGREEMENT_BROKEN	diplomatic_factor_broken_treaties		0.0	true
TRADE_AGREEMENT_DISSOLVED	diplomatic_factor_broken_treaties		0.0	true
TRADE_AGREEMENT_PAST	diplomatic_factor_past_treaties		0.0	true
TRESPASSING	diplomatic_factor_trespassing		0.0	true
TRESPASS_AFTER_WARNING	diplomatic_factor_trespassing		0.0	true
TRESPASS_WARNING	diplomatic_factor_trespass_warning		0.0	false
TROOPS_ENSLAVED			0.0	true
TROOPS_EXECUTED			0.0	true
TROOPS_RELEASED			0.0	true
ULTIMATUM_ISSUED	diplomatic_factor_ultimatem	diplomatic_factor_ultimatem	0.0	false
VASSALAGE	diplomatic_factor_treaties	diplomatic_factor_past_treaties	0.0	true
VASSALAGE_BROKEN	diplomatic_factor_broken_treaties		0.0	true
VASSALAGE_CANCELLED	diplomatic_factor_broken_treaties		0.0	true
VASSALAGE_FORCED	diplomatic_factor_treaties	diplomatic_factor_past_treaties	0.0	true
VORTEX_INTERVENTION			0.0	true
WAR	diplomatic_factor_war	diplomatic_factor_past_war	0.0	true
WAR_PAST	diplomatic_factor_past_war		0.0	true
WAR_TARGET	diplomatic_factor_war	diplomatic_factor_past_war	0.0	true
