personality_variable	personality_variable_set	value
#cai_personality_variable_set_junctions_tables;0;db/cai_personality_variable_set_junctions_tables/data__		
ai_threat_score_personality_multiplier_player	wh3_chaos_personality_variables_chaos_easy	0.5
ai_threat_score_personality_multiplier_player	wh3_chaos_personality_variables_chaos_hard	1.25
ai_threat_score_personality_multiplier_player	wh3_chaos_personality_variables_chaos_legendary	2
ai_threat_score_personality_multiplier_player	wh3_chaos_personality_variables_chaos_vhard	1.6
ai_threat_score_attitude_multiplier_max	wh3_chaos_personality_variables_chaos	6
ai_threat_score_attitude_multiplier_min	wh3_chaos_personality_variables_chaos	0.1
ai_threat_score_attitude_threshold_max	wh3_chaos_personality_variables_chaos	50
ai_threat_score_attitude_threshold_min	wh3_chaos_personality_variables_chaos	-200
ai_threat_score_proximity_multiplier_max	wh3_chaos_personality_variables_chaos	1
ai_threat_score_proximity_multiplier_min	wh3_chaos_personality_variables_chaos	0.7
ai_threat_score_personality_multiplier_player	wh3_chaos_personality_variables_default_easy	0.5
ai_threat_score_personality_multiplier_player	wh3_chaos_personality_variables_default_hard	1.25
ai_threat_score_personality_multiplier_player	wh3_chaos_personality_variables_default_legendary	2
ai_threat_score_personality_multiplier_player	wh3_chaos_personality_variables_default_vhard	1.6
ai_threat_score_personality_multiplier_player	wh3_chaos_personality_variables_ogre_easy	0.5
ai_threat_score_personality_multiplier_player	wh3_chaos_personality_variables_ogre_hard	1.25
ai_threat_score_personality_multiplier_player	wh3_chaos_personality_variables_ogre_legendary	2
ai_threat_score_personality_multiplier_player	wh3_chaos_personality_variables_ogre_vhard	1.6
ai_military_generator_size_penalty_multiplier	wh3_chaos_personality_variables_ogre	0.1
ai_threat_score_personality_multiplier_player	wh3_combi_personality_variables_chaos_easy	0.5
ai_threat_score_personality_multiplier_player	wh3_combi_personality_variables_chaos_hard	1.2
ai_threat_score_personality_multiplier_player	wh3_combi_personality_variables_chaos_legendary	1.9
ai_threat_score_personality_multiplier_player	wh3_combi_personality_variables_chaos_vhard	1.5
ai_threat_score_attitude_threshold_max	wh3_combi_personality_variables_chaos	50
ai_threat_score_attitude_threshold_min	wh3_combi_personality_variables_chaos	-200
ai_threat_score_personality_multiplier_player	wh3_combi_personality_variables_default_easy	0.5
ai_threat_score_personality_multiplier_player	wh3_combi_personality_variables_default_hard	1.2
ai_threat_score_personality_multiplier_player	wh3_combi_personality_variables_default_legendary	1.9
ai_threat_score_personality_multiplier_player	wh3_combi_personality_variables_default_vhard	1.5
ai_threat_score_attitude_multiplier_max	wh3_combi_personality_variables_default	2
ai_threat_score_direct_actions_mult_max	wh3_combi_personality_variables_default	1.25
ai_threat_score_direct_actions_mult_min	wh3_combi_personality_variables_default	0.6
ai_threat_score_proximity_multiplier_max	wh3_combi_personality_variables_default	0.75
ai_threat_score_proximity_multiplier_min	wh3_combi_personality_variables_default	0.25
ai_threat_score_personality_multiplier_player	wh3_combi_personality_variables_ogre_easy	0.5
ai_threat_score_personality_multiplier_player	wh3_combi_personality_variables_ogre_hard	1.2
ai_threat_score_personality_multiplier_player	wh3_combi_personality_variables_ogre_legendary	1.9
ai_threat_score_personality_multiplier_player	wh3_combi_personality_variables_ogre_vhard	1.5
ai_military_generator_size_penalty_multiplier	wh3_combi_personality_variables_ogre	0.1
