key	outcome	action_result_key	value	effect_record	effect_scope_record	FIXME	opportune_failure_weighting	affects_target	advancement_stage
#action_results_additional_outcomes_tables;4;db/action_results_additional_outcomes_tables/data__									
wh2_dlc09_agent_action_engineer_hinder_settlement_success_necrotect_ritual_outcome_target_settlement_colonise	target_ruined_settlement_occupied	wh2_dlc09_agent_action_engineer_hinder_settlement_success_necrotect_ritual	0.0			true	0	true	start_round_completed
wh2_dlc10_agent_action_shadow_walker_hinder_agent_success_outcome	target_agent_killed	wh2_dlc10_agent_action_shadow_walker_hinder_agent_success	0.0			true	0	true	start_round_completed
wh2_dlc10_agent_action_shadow_walker_hinder_agent_success_outcome_2	agent_killed	wh2_dlc10_agent_action_shadow_walker_hinder_agent_success	0.0			true	0	true	start_round_completed
wh2_dlc11_agent_action_hinder_settlement_success_establish_pirate_cove_establish_foreign_slots	establish_foreign_slots	wh2_dlc11_agent_action_hinder_settlement_success_establish_pirate_cove	1.0			true	0	true	start_round_completed
wh2_dlc12_agent_action_hinder_settlement_success_expand_underempire	establish_foreign_slots	wh2_dlc12_agent_action_hinder_settlement_success_expand_underempire	1.0			true	0	true	start_round_completed
wh2_dlc12_agent_action_hinder_settlement_success_expand_underempire_unique	establish_foreign_slots	wh2_dlc12_agent_action_hinder_settlement_success_expand_underempire_unique	1.0			true	0	true	start_round_completed
wh2_dlc12_agent_action_hinder_settlement_success_expand_underempire_unique_kill_agent	agent_killed	wh2_dlc12_agent_action_hinder_settlement_success_expand_underempire_unique	0.0			true	0	true	start_round_completed
wh2_dlc12_agent_action_kroak_hinder_settlement_crit_success_lord_kroak_outcome_target_settlement_buildings_damaged	downgrade_settlement_and_damage_buildings	wh2_dlc12_agent_action_kroak_hinder_settlement_success_lord_kroak_success_settlement	40.0			true	0	true	start_round_completed
wh2_dlc12_agent_action_kroak_hinder_settlement_crit_success_lord_kroak_outcome_target_settlement_damage_walls	damage_walls	wh2_dlc12_agent_action_kroak_hinder_settlement_success_lord_kroak_success_settlement	2.0			true	0	true	start_round_completed
wh2_dlc12_agent_action_kroak_hinder_settlement_success_lord_kroak_outcome_target_settlement_damage_walls_1	damage_walls	wh2_dlc12_agent_action_kroak_hinder_settlement_success_lord_kroak_success_walls_1	2.0			true	0	true	start_round_completed
wh2_dlc12_agent_action_kroak_hinder_settlement_success_lord_kroak_outcome_target_settlement_damage_walls_2	damage_walls	wh2_dlc12_agent_action_kroak_hinder_settlement_success_lord_kroak_success_walls_2	2.0			true	0	true	start_round_completed
