key	campaign_map_area_of_interest	logical_position_x	logical_position_y
#campaign_map_areas_of_interest_label_positions_tables;1;db/campaign_map_areas_of_interest_label_positions_tables/data__			
1111737513	wh3_main_leitziger_ford	423	19
1170674279	wh3_main_hel_fenn	516	84
1195311416	wh3_main_lucent_maze	365	380
1197566171	wh3_main_floating_chaos_island	374	525
1220997767	wh3_main_tze_the_ruins_of_the_dead_king	398	654
1223167812	wh3_main_kho_skull_of_the_first	515	707
1291375356	wh3_main_tze_citadel_of_the_iron_knight	470	611
1371550025	wh3_main_ice_caverns_of_ymirdrak	775	305
1688706164	wh3_main_marbads_tomb	199	63
1856008430	wh3_main_kho_machina_daemonium	625	652
1949296556	wh3_main_kho_the_tree_of_souls	612	689
1980551790	wh3_main_nur_lair_of_the_maggot_lord	581	514
2001221712	wh3_main_nur_arghus_the_plague_moon	619	616
2103166196	wh3_main_tze_the_heavenward_halls	410	602
2120478999	wh3_main_tze_the_true_liars_monolith	381	681
394668294	wh3_main_nur_the_septic_isle	592	556
405402723	wh3_main_kho_the_wrathgate	520	657
412638871	wh3_main_grimmenhagen	165	96
450372662	wh3_main_shrine_of_ursun	229	214
508067710	wh3_main_tze_the_eternity_stair	360	659
621941072	wh3_main_ancient_dragon_cave	115	136
639733063	wh3_main_the_howling_citadel	459	402
665941071	wh3_main_tze_the_eyrie_of_the_watcher	436	625
759808337	wh3_main_firemouth_volcano	889	320
776661275	wh3_main_nur_the_great_tree	491	583
78507576	wh3_main_golden_monolith	283	256
801404350	wh3_main_brazen_altar	419	375
863176648	wh3_main_the_frozen_falls	411	207
869282167	wh3_main_the_great_maw	948	428
